"","repository_language","repo_count","event","event_count"
"1","Arduino",21121,"PushEvent",149190
"2","Arduino",769,"IssueCommentEvent",7747
"3","Rust",1073,"PullRequestEvent",43040
"4","TeX",3948,"WatchEvent",27407
"5","PowerShell",1410,"ForkEvent",6363
"6","Vala",1259,"PushEvent",33494
"7","Visual Basic",7120,"CreateEvent",13140
"8","Matlab",3377,"WatchEvent",13005
"9","Makefile",5307,"PushEvent",30891
"10","AutoIt",538,"PushEvent",5109
"11","Logos",1773,"CreateEvent",3580
"12","Coq",458,"CreateEvent",1506
"13","Papyrus",3,"IssueCommentEvent",89
"14","nesC",63,"IssueCommentEvent",3515
"15","Logos",199,"IssueCommentEvent",2511
"16","Gnuplot",14,"ForkEvent",41
"17","Parrot",74,"PushEvent",5675
"18","Assembly",1451,"ForkEvent",7720
"19","OpenEdge ABL",240,"WatchEvent",1480
"20","ATS",33,"PushEvent",1816
"21","Swift",438,"PublicEvent",458
"22","Clojure",933,"PublicEvent",1089
"23","Perl",2559,"MemberEvent",5005
"24","Vala",268,"ForkEvent",1556
"25","Elm",8,"GollumEvent",146
"26","Pan",32,"PushEvent",420
"27","IDL",101,"IssuesEvent",2291
"28","Puppet",531,"GollumEvent",2633
"29","ABAP",59,"PushEvent",599
"30","Racket",622,"ForkEvent",2163
"31","Fantom",19,"CreateEvent",41
"32","Bluespec",37,"PushEvent",2704
"33","Vala",14,"PullRequestReviewCommentEvent",427
"34","OpenEdge ABL",62,"MemberEvent",92
"35","Io",15,"IssueCommentEvent",757
"36","Xtend",11,"CommitCommentEvent",133
"37","Eiffel",286,"CreateEvent",1804
"38","BlitzBasic",69,"PullRequestEvent",783
"39","Common Lisp",211,"MemberEvent",344
"40","PowerShell",55,"PullRequestReviewCommentEvent",677
"41","LSL",5,"DeleteEvent",61
"42","GAP",29,"WatchEvent",104
"43","Inform 7",10,"IssuesEvent",118
"44","Arc",14,"IssueCommentEvent",90
"45","PureScript",97,"ForkEvent",278
"46","XProc",40,"PushEvent",859
"47","Hack",1,"GollumEvent",8
"48","Factor",8,"PullRequestEvent",393
"49","AppleScript",98,"PullRequestEvent",308
"50","Mirah",4,"IssuesEvent",56
"51","MoonScript",45,"ForkEvent",96
"52","Awk",67,"ForkEvent",216
"53","Eiffel",19,"PullRequestReviewCommentEvent",840
"54","Nimrod",13,"ReleaseEvent",30
"55","Augeas",16,"PullRequestEvent",400
"56","Io",7,"CommitCommentEvent",12
"57","Mirah",23,"ForkEvent",61
"58","Nemerle",35,"DeleteEvent",167
"59","Forth",32,"WatchEvent",86
"60","Elixir",96,"MemberEvent",120
"61","Haxe",28,"TeamAddEvent",30
"62","Io",18,"PullRequestEvent",161
"63","XProc",12,"DeleteEvent",110
"64","Component Pascal",21,"WatchEvent",37
"65","Nimrod",5,"PullRequestReviewCommentEvent",78
"66","Stata",12,"CommitCommentEvent",19
"67","GAP",16,"MemberEvent",40
"68","Ada",53,"IssuesEvent",591
"69","Ragel in Ruby Host",10,"ForkEvent",53
"70","Cirru",2,"IssueCommentEvent",15
"71","HaXe",400,"CreateEvent",1944
"72","Gnuplot",5,"GollumEvent",39
"73","JSONiq",8,"ForkEvent",9
