"","month","year","repo_name","repo_url","events","pos"
"1",1,2012,"Khan/khan-exercises","https://api.github.dev/repos/Khan/khan-exercises",4125,1
"2",1,2012,"stefanheimes/syncCto","https://api.github.dev/repos/stefanheimes/syncCto",888,2
"3",1,2012,"twitter/bootstrap","https://api.github.dev/repos/twitter/bootstrap",800,3
"4",1,2012,"diaspora/diaspora","https://api.github.dev/repos/diaspora/diaspora",731,4
"5",1,2012,"TrinityCore/TrinityCore","https://api.github.dev/repos/TrinityCore/TrinityCore",644,5
"6",1,2012,"aidGer/issuetest","https://api.github.dev/repos/aidGer/issuetest",596,6
"7",1,2012,"NitroXy/import-test","https://api.github.dev/repos/NitroXy/import-test",496,7
"8",1,2012,"techcollective/issuetest","https://api.github.dev/repos/techcollective/issuetest",444,8
"9",1,2012,"Atlantiss/AtlantissCore","https://api.github.dev/repos/Atlantiss/AtlantissCore",418,9
"10",1,2012,"andreasisaak/syncCto","https://api.github.dev/repos/andreasisaak/syncCto",390,10
"11",2,2012,"3scale/issues-test","https://api.github.dev/repos/3scale/issues-test",2754,1
"12",2,2012,"Khan/khan-exercises","https://api.github.com/repos/Khan/khan-exercises",1795,2
"13",2,2012,"robmcmullen/peppy","https://api.github.dev/repos/robmcmullen/peppy",1786,3
"14",2,2012,"Khan/khan-exercises","https://api.github.dev/repos/Khan/khan-exercises",1746,4
"15",2,2012,"twitter/bootstrap","https://api.github.dev/repos/twitter/bootstrap",796,5
"16",2,2012,"Maescool/Catacomb-Snatch","https://api.github.com/repos/Maescool/Catacomb-Snatch",492,6
"17",2,2012,"TrinityCore/TrinityCore","https://api.github.dev/repos/TrinityCore/TrinityCore",482,7
"18",2,2012,"marc-hughes/Sandbox","https://api.github.dev/repos/marc-hughes/Sandbox",458,8
"19",2,2012,"mxcl/homebrew","https://api.github.dev/repos/mxcl/homebrew",377,9
"20",2,2012,"Eichhoernchen/SiriServer","https://api.github.dev/repos/Eichhoernchen/SiriServer",374,10
"21",3,2012,"mapserver","https://github.com/mapserver/mapserver",14098,1
"22",3,2012,"mstmp","https://github.com/tbonfort/mstmp",6805,2
"23",3,2012,"khan-exercises","https://github.com/Khan/khan-exercises",4776,3
"24",3,2012,"cabennett85/gittest","https://api.github.dev/repos/cabennett85/gittest",1652,4
"25",3,2012,"AtlantissCore","https://github.com/Atlantiss/AtlantissCore",1503,5
"26",3,2012,"mstickets","https://github.com/tbonfort/mstickets",1214,6
"27",3,2012,"blacklight","https://github.com/MrDys/blacklight",960,7
"28",3,2012,"test","https://github.com/yelracd/test",808,8
"29",3,2012,"bootstrap","https://github.com/twitter/bootstrap",668,9
"30",3,2012,"Archangel_2.4.3_Bugtracker","https://github.com/FeenixServerProject/Archangel_2.4.3_Bugtracker",661,10
"31",4,2012,"mapserver","https://github.com/mapserver/mapserver",9543,1
"32",4,2012,"khan-exercises","https://github.com/Khan/khan-exercises",5654,2
"33",4,2012,"AtlantissCore","https://github.com/Atlantiss/AtlantissCore",2427,3
"34",4,2012,"TrinityCore","https://github.com/TrinityCore/TrinityCore",1490,4
"35",4,2012,"dita-ot","https://github.com/dita-ot/dita-ot",1342,5
"36",4,2012,"pyjs","https://github.com/pyjs/pyjs",872,6
"37",4,2012,"bootstrap","https://github.com/twitter/bootstrap",604,7
"38",4,2012,"android","https://github.com/GalaxyICS/android",522,8
"39",4,2012,"Archangel_2.4.3_Bugtracker","https://github.com/FeenixServerProject/Archangel_2.4.3_Bugtracker",495,9
"40",4,2012,"homebrew","https://github.com/mxcl/homebrew",488,10
"41",5,2012,"khan-exercises","https://github.com/Khan/khan-exercises",4112,1
"42",5,2012,"wmcore-trac-import","https://github.com/dmwm/wmcore-trac-import",2098,2
"43",5,2012,"cabal","https://github.com/haskell/cabal",1261,3
"44",5,2012,"AtlantissCore","https://github.com/Atlantiss/AtlantissCore",940,4
"45",5,2012,"maqetta","https://github.com/maqetta/maqetta",683,5
"46",5,2012,"bootstrap","https://github.com/twitter/bootstrap",519,6
"47",5,2012,"supercollider","https://github.com/supercollider-team/supercollider",500,7
"48",5,2012,"NetHack","https://github.com/nethack5/NetHack",482,8
"49",5,2012,"Dragon","https://github.com/DragonFire/Dragon",455,9
"50",5,2012,"rails","https://github.com/rails/rails",425,10
"51",6,2012,"mr-issues","https://github.com/43one/mr-issues",15359,1
"52",6,2012,"khan-exercises","https://github.com/Khan/khan-exercises",4114,2
"53",6,2012,"isotope-transfertickettest","https://github.com/Toflar/isotope-transfertickettest",3058,3
"54",6,2012,"partakein2","https://github.com/eller86/partakein2",1602,4
"55",6,2012,"robotframework","https://github.com/tommi/robotframework",1552,5
"56",6,2012,"AtlantissCore","https://github.com/Atlantiss/AtlantissCore",794,6
"57",6,2012,"Test_Table_Import","https://github.com/stephenbrown1990/Test_Table_Import",749,7
"58",6,2012,"Bamfords","https://github.com/stephenbrown1990/Bamfords",716,8
"59",6,2012,"gnuhub.github.com","https://github.com/gnuhub/gnuhub.github.com",671,9
"60",6,2012,"Project-2","https://github.com/stephenbrown1990/Project-2",539,10
"61",7,2012,"jOOQ-trac-ticket-import-test","https://github.com/lukaseder/jOOQ-trac-ticket-import-test",20290,1
"62",7,2012,"jOOQ","https://github.com/jOOQ/jOOQ",2745,2
"63",7,2012,"khan-exercises","https://github.com/Khan/khan-exercises",2628,3
"64",7,2012,"jOOQ-trac-tickets","https://github.com/lukaseder/jOOQ-trac-tickets",2596,4
"65",7,2012,"pulWifi","https://github.com/pulWifi/pulWifi",1527,5
"66",7,2012,"__test-repo-please-ignore","https://github.com/SealedSun/__test-repo-please-ignore",1407,6
"67",7,2012,"networkx","https://github.com/networkx/networkx",1162,7
"68",7,2012,"politici","https://github.com/openpolis/politici",813,8
"69",7,2012,"op_politici","https://github.com/openpolis/op_politici",797,9
"70",7,2012,"hpx","https://github.com/STEllAR-GROUP/hpx",729,10
"71",7,2012,"gaia","https://github.com/mozilla-b2g/gaia",729,10
"72",8,2012,"pulWifi","https://github.com/pulWifi/pulWifi",3978,1
"73",8,2012,"khan-exercises","https://github.com/Khan/khan-exercises",3512,2
"74",8,2012,"issues-import-test","https://github.com/Brian-Gaffney/issues-import-test",2058,3
"75",8,2012,"oc-issue-import","https://github.com/DeepDiver1975/oc-issue-import",1938,4
"76",8,2012,"7plus","https://github.com/7plus/7plus",1507,5
"77",8,2012,"scratch","https://github.com/slinkp/scratch",1392,6
"78",8,2012,"gaia","https://github.com/mozilla-b2g/gaia",1243,7
"79",8,2012,"bootstrap","https://github.com/twitter/bootstrap",939,8
"80",8,2012,"maqetta","https://github.com/maqetta/maqetta",919,9
"81",8,2012,"SCII-External-Maphack","https://github.com/MrNukealizer/SCII-External-Maphack",783,10
"82",9,2012,"trac-migration","https://github.com/khole/trac-migration",12231,1
"83",9,2012,"numpy-trac-migration","https://github.com/thouis/numpy-trac-migration",6313,2
"84",9,2012,"test3","https://github.com/obspy/test3",3849,3
"85",9,2012,"migration-test","https://github.com/khole/migration-test",3654,4
"86",9,2012,"issue-migration-test","https://github.com/flot/issue-migration-test",2924,5
"87",9,2012,"Textcube2","https://github.com/Needlworks/Textcube2",2755,6
"88",9,2012,"Textcube","https://github.com/Needlworks/Textcube",2628,7
"89",9,2012,"trac-migration-test-03","https://github.com/Needlworks/trac-migration-test-03",2562,8
"90",9,2012,"textcube","https://github.com/Needlworks/textcube",2521,9
"91",9,2012,"infoscoop","https://github.com/infoScoop/infoscoop",2020,10
"92",10,2012,"khan-exercises","https://github.com/Khan/khan-exercises",7031,1
"93",10,2012,"numpy","https://github.com/numpy/numpy",3409,2
"94",10,2012,"test-repo","https://github.com/ncb000gt2/test-repo",3323,3
"95",10,2012,"numpy-trac-migration","https://github.com/thouis/numpy-trac-migration",3223,4
"96",10,2012,"mergedneo4j","https://github.com/lassewesth/mergedneo4j",1708,5
"97",10,2012,"casadi-test","https://github.com/casadi/casadi-test",1348,6
"98",10,2012,"qiime-trac-port-test","https://github.com/jrrideout/qiime-trac-port-test",985,7
"99",10,2012,"casadi","https://github.com/casadi/casadi",862,8
"100",10,2012,"SCII-External-Maphack","https://github.com/MrNukealizer/SCII-External-Maphack",793,9
