,repository_url,repository_name,created_at
0,https://github.com/antirez/redis-doc,redis-doc,2012-03-11 07:36:04
3,https://github.com/antirez/redis,redis,2012-03-11 17:25:16
6,https://github.com/existentialism/Redisession,Redisession,2012-03-11 19:48:08
9,https://github.com/angieslist/AL-Redis,AL-Redis,2012-03-11 19:48:18
12,https://github.com/dmajkic/redis,redis,2012-03-11 19:53:57
15,https://github.com/ServiceStack/ServiceStack.Redis,ServiceStack.Redis,2012-03-11 19:58:28
18,https://github.com/jcoleman/tomcat-redis-session-manager,tomcat-redis-session-manager,2012-03-12 01:24:23
21,https://github.com/sripathikrishnan/redis-rdb-tools,redis-rdb-tools,2012-03-12 05:46:34
24,https://github.com/antirez/redis,redis,2012-03-12 07:41:29
27,https://github.com/guilleiguaran/fakeredis,fakeredis,2012-03-12 12:05:09
30,https://github.com/ezmobius/redis-rb,redis-rb,2012-03-12 16:00:12
33,https://github.com/cloudartisan/sd-redis,sd-redis,2012-03-12 16:10:39
36,https://github.com/ezmobius/redis-rb,redis-rb,2012-03-12 17:22:42
39,https://github.com/antirez/redis-io,redis-io,2012-03-12 19:20:47
42,https://github.com/satori/flask-redis,flask-redis,2012-03-12 20:37:37
45,https://github.com/antirez/redis-io,redis-io,2012-03-12 22:44:53
48,https://github.com/antirez/redis,redis,2012-03-13 02:04:12
51,https://github.com/antirez/redis,redis,2012-03-13 03:23:28
54,https://github.com/Microsoft-Interop/redis,redis,2012-03-13 03:30:58
57,https://github.com/mranney/node_redis,node_redis,2012-03-13 05:05:12
60,https://github.com/mdallastella/Tornado-Redis-SessionManager,Tornado-Redis-SessionManager,2012-03-13 09:27:25
63,https://github.com/antirez/hiredis,hiredis,2012-03-13 10:37:27
66,https://github.com/mmcgrana/clj-redis,clj-redis,2012-03-13 15:05:22
69,https://github.com/noahhl/redis-timeseries,redis-timeseries,2012-03-13 17:04:13
72,https://github.com/martinrusev/django-redis-sessions,django-redis-sessions,2012-03-13 17:16:44
75,https://github.com/ezmobius/redis-rb,redis-rb,2012-03-13 20:22:16
78,https://github.com/dmajkic/redis,redis,2012-03-13 23:48:06
81,https://github.com/colinmollenhour/Cm_Cache_Backend_Redis,Cm_Cache_Backend_Redis,2012-03-14 01:55:43
84,https://github.com/mranney/node_redis,node_redis,2012-03-14 06:30:53
87,https://github.com/mranney/node_redis,node_redis,2012-03-14 06:43:06
90,https://github.com/redis/redis-rb,redis-rb,2012-03-14 09:21:32
93,https://github.com/pagekite/PyPdnsRedis,PyPdnsRedis,2012-03-14 13:48:38
96,https://github.com/ntenisOT/Faye-Heroku-Cedar-RedisToGo,Faye-Heroku-Cedar-RedisToGo,2012-03-14 15:06:30
99,https://github.com/infochimps-cookbooks/redis,redis,2012-03-14 15:15:40
102,https://github.com/antirez/redis,redis,2012-03-14 17:58:05
105,https://github.com/sorensen/backbone-redis,backbone-redis,2012-03-14 18:10:10
108,https://github.com/mranney/node_redis,node_redis,2012-03-14 18:20:12
111,https://github.com/freels/finagle-redis,finagle-redis,2012-03-14 21:05:06
114,https://github.com/redis/redis-rb,redis-rb,2012-03-14 21:51:16
117,https://github.com/antirez/redis,redis,2012-03-15 02:15:35
120,https://github.com/antirez/redis,redis,2012-03-15 06:26:16
123,https://github.com/antirez/redis-doc,redis-doc,2012-03-15 07:31:56
126,https://github.com/e-travel/RedisQueue.Net,RedisQueue.Net,2012-03-15 11:08:29
129,https://github.com/mloughran/em-hiredis,em-hiredis,2012-03-15 13:16:05
132,https://github.com/pietern/hiredis-node,hiredis-node,2012-03-15 13:39:34
135,https://github.com/tavisrudd/redis-clojure,redis-clojure,2012-03-15 16:39:28
138,https://github.com/vseloved/cl-redis,cl-redis,2012-03-15 16:55:44
141,https://github.com/nicolasff/phpredis,phpredis,2012-03-15 19:56:26
144,https://github.com/mogotest/redis_store_jr,redis_store_jr,2012-03-15 20:09:35
147,https://github.com/gilles/redis-munin,redis-munin,2012-03-15 20:35:46
150,https://github.com/fiorix/txredisapi,txredisapi,2012-03-16 08:01:50
153,https://github.com/zen4ever/puppet-redis,puppet-redis,2012-03-16 08:36:21
156,https://github.com/visionmedia/connect-redis,connect-redis,2012-03-16 13:00:14
159,https://github.com/mranney/node_redis,node_redis,2012-03-16 13:27:49
162,https://github.com/Morriz/backbone-redis,backbone-redis,2012-03-16 14:51:15
165,https://github.com/gilles/redis-munin,redis-munin,2012-03-16 14:58:23
168,https://github.com/sebleier/django-redis-cache,django-redis-cache,2012-03-16 15:41:07
171,https://github.com/antirez/redis,redis,2012-03-16 15:51:46
