is_data_statistics,repo,terms,url
True,jnuc093/spring-mvc-examples,spring mvc examples,http://github.com/jnuc093/spring-mvc-examples
True,julian-maughan/haraka,haraka,http://github.com/julian-maughan/haraka
True,dchavezlive/nubot-simulator,nubot simulator,http://github.com/dchavezlive/nubot-simulator
True,solivavinicius/rest-api-sample-app-nodejs,rest api sample app nodejs,http://github.com/solivavinicius/rest-api-sample-app-nodejs
True,cb372/finagle,finagle,http://github.com/cb372/finagle
True,codecarson/socket-chat-example,socket chat example,http://github.com/codecarson/socket-chat-example
True,hlxwell/em_apn_manager,em apn manager,http://github.com/hlxwell/em_apn_manager
True,helios-ag/silex-swiftmailer-email-sending-example,silex swiftmailer email sending example,http://github.com/helios-ag/silex-swiftmailer-email-sending-example
True,pointybeard/oziexplorer-batch-map-convert,oziexplorer batch map convert,http://github.com/pointybeard/oziexplorer-batch-map-convert
True,igorcavalcante/gop,gop,http://github.com/igorcavalcante/gop
True,dragonbe/utexamples,utexamples,http://github.com/dragonbe/utexamples
True,yardrock71/android-datepicker,android datepicker,http://github.com/yardrock71/android-datepicker
True,losrebellos/standingwave3,standingwave3,http://github.com/losrebellos/standingwave3
True,ocirema/digital-signage-client,digital signage client,http://github.com/ocirema/digital-signage-client
True,stevenmaude/project-euler,project euler,http://github.com/stevenmaude/project-euler
True,tcurdt/master_slave_adapter,master slave adapter,http://github.com/tcurdt/master_slave_adapter
True,chuythong/sample_app,sample app,http://github.com/chuythong/sample_app
True,ravindrapai/sklearn_scipy2013,sklearn scipy ,http://github.com/ravindrapai/sklearn_scipy2013
True,blaw711/kinetical-samples,kinetical samples,http://github.com/blaw711/kinetical-samples
True,bberliner/openid_connect_sample_rp,openid connect sample rp,http://github.com/bberliner/openid_connect_sample_rp
True,godenlove007/scikit-learn,scikit learn,http://github.com/godenlove007/scikit-learn
True,suchit1986/sample,sample,http://github.com/suchit1986/sample
True,mattcreager/todo-example,todo example,http://github.com/mattcreager/todo-example
True,barrywark/ovation-osx-key-manager,ovation osx key manager,http://github.com/barrywark/ovation-osx-key-manager
True,hazem-ben-khalfallah/play-websockets-chat-sample,play websockets chat sample,http://github.com/hazem-ben-khalfallah/play-websockets-chat-sample
True,gojun077/jun-project-euler,jun project euler,http://github.com/gojun077/jun-project-euler
True,simulacre/async_sinatra,async sinatra,http://github.com/simulacre/async_sinatra
True,chrisbirch/qcplugincreationassistant,qcplugincreationassistant,http://github.com/chrisbirch/qcplugincreationassistant
True,meshuits/sample_app,sample app,http://github.com/meshuits/sample_app
True,aux-di/sample01,sample ,http://github.com/aux-di/sample01
True,davidlohmann/week3-homework,week3 homework,http://github.com/davidlohmann/week3-homework
True,yury/anjlab.fx,anjlab fx,http://github.com/yury/anjlab.fx
True,kmatzen/matlab-python,matlab python,http://github.com/kmatzen/matlab-python
True,paulyv/stock-manager,stock manager,http://github.com/paulyv/stock-manager
True,lepi-cane/hammer.js,hammer js,http://github.com/lepi-cane/hammer.js
True,konstan/python-dirq,python dirq,http://github.com/konstan/python-dirq
True,bigsassy/geopy,geopy,http://github.com/bigsassy/geopy
True,feugy/timelinejs,timelinejs,http://github.com/feugy/timelinejs
True,ondrejsika/python-smartconfig,python smartconfig,http://github.com/ondrejsika/python-smartconfig
True,ilann/sprimejs,sprimejs,http://github.com/ilann/sprimejs
True,robertoplancarte/caracol,caracol,http://github.com/robertoplancarte/caracol
True,lind1/sample_app,sample app,http://github.com/lind1/sample_app
True,pawankmrai/ios-image-filters,ios image filters,http://github.com/pawankmrai/ios-image-filters
True,achoi007/projecteulersolutions,projecteulersolutions,http://github.com/achoi007/projecteulersolutions
True,julienp/gkimagepicker,gkimagepicker,http://github.com/julienp/gkimagepicker
True,possm/-plex-epicmealtime, plex epicmealtime,http://github.com/possm/-plex-epicmealtime
True,chillybwoy/gears-sass,gears sass,http://github.com/chillybwoy/gears-sass
True,ecuageo/doorkeeper-example,doorkeeper example,http://github.com/ecuageo/doorkeeper-example
True,florres/sample_app,sample app,http://github.com/florres/sample_app
True,diegohsa/sample_app,sample app,http://github.com/diegohsa/sample_app
True,igoruha/demo_app,demo app,http://github.com/igoruha/demo_app
True,minamiyama1994/hiroshima-plus-plus.github.io,hiroshima plus plus github io,http://github.com/minamiyama1994/hiroshima-plus-plus.github.io
True,lukpaw/motoads,motoads,http://github.com/lukpaw/motoads
True,elica87/wix-gae-sample-app,wix gae sample app,http://github.com/elica87/wix-gae-sample-app
True,hmacosi/normalize.css-with-sass-or-compass,normalize css with sass or compass,http://github.com/hmacosi/normalize.css-with-sass-or-compass
True,928874125/samples,samples,http://github.com/928874125/samples
True,wonderllc/bootstrap-sass-scss-compass,bootstrap sass scss compass,http://github.com/wonderllc/bootstrap-sass-scss-compass
True,ghostandthemachine/hiccup-bridge,hiccup bridge,http://github.com/ghostandthemachine/hiccup-bridge
True,radicaleggnog/orange,orange,http://github.com/radicaleggnog/orange
True,suomisavi/sample_app,sample app,http://github.com/suomisavi/sample_app
True,ssafejava/nodejs-task,nodejs task,http://github.com/ssafejava/nodejs-task
True,ichikaway/codeigniter2-performancechecksample,codeigniter2 performancechecksample,http://github.com/ichikaway/codeigniter2-performancechecksample
True,johnbaums/jagstools,jagstools,http://github.com/johnbaums/jagstools
