is_editors,repo,terms,url
True,vincentbernat/znc,znc,http://github.com/vincentbernat/znc
True,neilgaietto/web-service-monitor-tile,web service monitor tile,http://github.com/neilgaietto/web-service-monitor-tile
True,ynivin/veridraw,veridraw,http://github.com/ynivin/veridraw
True,vhernando/emacs-conf-file,emacs conf file,http://github.com/vhernando/emacs-conf-file
True,jeffh/cedar-sample-testbundle-osx,cedar sample testbundle osx,http://github.com/jeffh/cedar-sample-testbundle-osx
True,nicobrevin/soundmanager2,soundmanager2,http://github.com/nicobrevin/soundmanager2
True,davidblurton/jade,jade,http://github.com/davidblurton/jade
True,njhamann/environment-config-files,environment config files,http://github.com/njhamann/environment-config-files
True,riywo/acme-anime,acme anime,http://github.com/riywo/acme-anime
True,davidknag/twitter-search-bootstrap,twitter search bootstrap,http://github.com/davidknag/twitter-search-bootstrap
True,samueleciprietti/nova_kernel,nova kernel,http://github.com/samueleciprietti/nova_kernel
True,dvirus/psfreedom,psfreedom,http://github.com/dvirus/psfreedom
True,hanhecai/platform_dalvik,platform dalvik,http://github.com/hanhecai/platform_dalvik
True,locrianmode/sample_app,sample app,http://github.com/locrianmode/sample_app
True,diegolima/php-openstack-samples,php openstack samples,http://github.com/diegolima/php-openstack-samples
True,sonyakli/sample_app,sample app,http://github.com/sonyakli/sample_app
True,rpavlovs/bb10-webworks-samples,bb  webworks samples,http://github.com/rpavlovs/bb10-webworks-samples
True,kilaka/viewpager-independent,viewpager independent,http://github.com/kilaka/viewpager-independent
True,devildeveloper/volo,volo,http://github.com/devildeveloper/volo
True,elephantmasse/sam,sam,http://github.com/elephantmasse/sam
True,matthiasbruns/quiltviewlibrary,quiltviewlibrary,http://github.com/matthiasbruns/quiltviewlibrary
True,fsp/swipeview,swipeview,http://github.com/fsp/swipeview
True,davidchow007/whatsapi,whatsapi,http://github.com/davidchow007/whatsapi
True,zolnaidani/android-viewpagerindicator,android viewpagerindicator,http://github.com/zolnaidani/android-viewpagerindicator
True,asanghi/devise_invitable,devise invitable,http://github.com/asanghi/devise_invitable
True,fvia/vm0,vm0,http://github.com/fvia/vm0
True,mohamedalsherif/samplewebservice,samplewebservice,http://github.com/mohamedalsherif/samplewebservice
True,savis/lucene-solr,lucene solr,http://github.com/savis/lucene-solr
True,emacsattic/encap,encap,http://github.com/emacsattic/encap
True,megafinz/dropboxpreviewgrabber,dropboxpreviewgrabber,http://github.com/megafinz/dropboxpreviewgrabber
True,jerryyeung/vinci-dhcp,vinci dhcp,http://github.com/jerryyeung/vinci-dhcp
True,ingbriandiaz/html5_video_voting,html5 video voting,http://github.com/ingbriandiaz/html5_video_voting
True,perlamber/gesture-imageview,gesture imageview,http://github.com/perlamber/gesture-imageview
True,temasek/android_device_asus_deb,android device asus deb,http://github.com/temasek/android_device_asus_deb
True,amaks/anatomyofbackbone,anatomyofbackbone,http://github.com/amaks/anatomyofbackbone
True,evaristogz/tussam,tussam,http://github.com/evaristogz/tussam
True,davidcmurphy/embedly-java,embedly java,http://github.com/davidcmurphy/embedly-java
True,pld-linux/gnome-applet-divider,gnome applet divider,http://github.com/pld-linux/gnome-applet-divider
True,ottovirtanen/pico,pico,http://github.com/ottovirtanen/pico
True,d2fn/samsara,samsara,http://github.com/d2fn/samsara
True,tilljoel/our-boxen,our boxen,http://github.com/tilljoel/our-boxen
True,rbfalavinha/calibre-kobo-driver,calibre kobo driver,http://github.com/rbfalavinha/calibre-kobo-driver
True,davidzmsg/unblock-youku,unblock youku,http://github.com/davidzmsg/unblock-youku
True,mlevinson/timereports,timereports,http://github.com/mlevinson/timereports
True,dypan/vsvim,vsvim,http://github.com/dypan/vsvim
True,generoi/context_takeover,context takeover,http://github.com/generoi/context_takeover
True,manigovindarajulu/testmani,testmani,http://github.com/manigovindarajulu/testmani
True,lossoth/sample_app,sample app,http://github.com/lossoth/sample_app
True,rkowal/lua-omni-vim-completion,lua omni vim completion,http://github.com/rkowal/lua-omni-vim-completion
True,richajain/text_editor,text editor,http://github.com/richajain/text_editor
True,viniychuk/vanilla-popup,vanilla popup,http://github.com/viniychuk/vanilla-popup
True,radavis/restaurant,restaurant,http://github.com/radavis/restaurant
True,kadvin/app_table,app table,http://github.com/kadvin/app_table
True,nerdrew/vim-ruby,vim ruby,http://github.com/nerdrew/vim-ruby
True,robavista/goodforgood,goodforgood,http://github.com/robavista/goodforgood
True,jessedavis/elasticsearch-knapsack,elasticsearch knapsack,http://github.com/jessedavis/elasticsearch-knapsack
True,mallim/jquery-in-place-editor,jquery in place editor,http://github.com/mallim/jquery-in-place-editor
True,sasansamit/trident-spring,trident spring,http://github.com/sasansamit/trident-spring
True,evilensky/avalon,avalon,http://github.com/evilensky/avalon
True,trimeloni/tonicsample,tonicsample,http://github.com/trimeloni/tonicsample
True,thongle91/sample_app_2nd_ed,sample app 2nd ed,http://github.com/thongle91/sample_app_2nd_ed
True,sinmaniphel/mybaztagservices-server,mybaztagservices server,http://github.com/sinmaniphel/mybaztagservices-server
True,previousnext/redmine_boards_watchers,redmine boards watchers,http://github.com/previousnext/redmine_boards_watchers
True,anvil8/django-admin-tools,django admin tools,http://github.com/anvil8/django-admin-tools
True,ashwinnbhanushali/avideo,avideo,http://github.com/ashwinnbhanushali/avideo
True,dmitriyspb/meditoria,meditoria,http://github.com/dmitriyspb/meditoria
True,houshijie/rsstomobiservice,rsstomobiservice,http://github.com/houshijie/rsstomobiservice
True,mottore/sample_app,sample app,http://github.com/mottore/sample_app
True,merdolphin/grnvisulizationcute,grnvisulizationcute,http://github.com/merdolphin/grnvisulizationcute
True,gavinwang/spree,spree,http://github.com/gavinwang/spree
True,joenali/match,match,http://github.com/joenali/match
True,canerturkmen/servicetests,servicetests,http://github.com/canerturkmen/servicetests
True,vietnamese-cs-student-association/tang-kinh-cac,tang kinh cac,http://github.com/vietnamese-cs-student-association/tang-kinh-cac
True,tkkasimov/textmate,textmate,http://github.com/tkkasimov/textmate
True,finchpowers/chrome-github-navigator-extension,chrome github navigator extension,http://github.com/finchpowers/chrome-github-navigator-extension
True,ejjy/favico.js,favico js,http://github.com/ejjy/favico.js
True,andi34/android_device_samsung_omap4-common,android device samsung omap4 common,http://github.com/andi34/android_device_samsung_omap4-common
True,alexbeau/travianz-by-shadow,travianz by shadow,http://github.com/alexbeau/travianz-by-shadow
True,davidlove/lrlp_paper,lrlp paper,http://github.com/davidlove/lrlp_paper
True,bkodres93/mazesolver,mazesolver,http://github.com/bkodres93/mazesolver
True,cs-svnmirror/evil-programmers,evil programmers,http://github.com/cs-svnmirror/evil-programmers
True,martinmoizard/aws-sns-samples,aws sns samples,http://github.com/martinmoizard/aws-sns-samples
True,smiklosovic/arquillian-container-android-drone-web,arquillian container android drone web,http://github.com/smiklosovic/arquillian-container-android-drone-web
True,syrusakbary/nanoscrollerjs,nanoscrollerjs,http://github.com/syrusakbary/nanoscrollerjs
True,vkaravir/opendsa,opendsa,http://github.com/vkaravir/opendsa
True,joemccann/appjs-apppackager,appjs apppackager,http://github.com/joemccann/appjs-apppackager
True,tslavinsky/clipsapidemo,clipsapidemo,http://github.com/tslavinsky/clipsapidemo
True,rlgbuilders/sample,sample,http://github.com/rlgbuilders/sample
True,wp-plugins/virtual-pages,virtual pages,http://github.com/wp-plugins/virtual-pages
True,jamvius/bootstrap,bootstrap,http://github.com/jamvius/bootstrap
True,xperianext/android_device_sony_fuji-common,android device sony fuji common,http://github.com/xperianext/android_device_sony_fuji-common
True,vista2001/swtwork,swtwork,http://github.com/vista2001/swtwork
True,devvit/handlersocket-plugin-for-mysql,handlersocket plugin for mysql,http://github.com/devvit/handlersocket-plugin-for-mysql
True,dimkof/youtube-video,youtube video,http://github.com/dimkof/youtube-video
True,msama/android-places-api,android places api,http://github.com/msama/android-places-api
True,corydorasnomu/defeatdevil,defeatdevil,http://github.com/corydorasnomu/defeatdevil
True,pollingj/mm-devise,mm devise,http://github.com/pollingj/mm-devise
True,joe-xxx/wolf3d,wolf3d,http://github.com/joe-xxx/wolf3d
True,joelhelbling/dot_vim,dot vim,http://github.com/joelhelbling/dot_vim
True,ryan-chambers/jstestdriver-sample-project,jstestdriver sample project,http://github.com/ryan-chambers/jstestdriver-sample-project
True,derekzhang79/fximageview,fximageview,http://github.com/derekzhang79/fximageview
True,jocavill/tenndeavor,tenndeavor,http://github.com/jocavill/tenndeavor
True,deepanshu7016/testsample,testsample,http://github.com/deepanshu7016/testsample
True,rretamal/servicestack,servicestack,http://github.com/rretamal/servicestack
True,mozilla-b2g/device_generic_goldfish,device generic goldfish,http://github.com/mozilla-b2g/device_generic_goldfish
True,lunaris/vim-vorpal,vim vorpal,http://github.com/lunaris/vim-vorpal
True,openningia/scintillacondivisa,scintillacondivisa,http://github.com/openningia/scintillacondivisa
True,gavincarr/uri-query,uri query,http://github.com/gavincarr/uri-query
True,ashishmishra007/augmented-reality-view,augmented reality view,http://github.com/ashishmishra007/augmented-reality-view
True,levigross/exp-html,exp html,http://github.com/levigross/exp-html
True,angrytit/akka-transactor-sample,akka transactor sample,http://github.com/angrytit/akka-transactor-sample
True,emacsmirror/iedit,iedit,http://github.com/emacsmirror/iedit
True,joel-wehr/pitchfork,pitchfork,http://github.com/joel-wehr/pitchfork
True,cuiweijie/jtgesturebasedtableviewdemo,jtgesturebasedtableviewdemo,http://github.com/cuiweijie/jtgesturebasedtableviewdemo
True,sibahota059/pbpaypalpaymentviewcontroller,pbpaypalpaymentviewcontroller,http://github.com/sibahota059/pbpaypalpaymentviewcontroller
True,yoshihisamaruya/feature_test,feature test,http://github.com/yoshihisamaruya/feature_test
True,isam12/ruby-sample,ruby sample,http://github.com/isam12/ruby-sample
True,advishnuprasad/algorithms,algorithms,http://github.com/advishnuprasad/algorithms
True,satomko/sample_app,sample app,http://github.com/satomko/sample_app
True,reynaldo-samsung/gst-streaming-server,gst streaming server,http://github.com/reynaldo-samsung/gst-streaming-server
True,leoliu/pcmpl-git-el,pcmpl git el,http://github.com/leoliu/pcmpl-git-el
True,jalalhejazi/samples,samples,http://github.com/jalalhejazi/samples
True,omar-hossam/db,db,http://github.com/omar-hossam/db
True,stanislas/viaz,viaz,http://github.com/stanislas/viaz
True,viniciusosc/cucumber_project,cucumber project,http://github.com/viniciusosc/cucumber_project
True,vim-scripts/mingw.vim,mingw vim,http://github.com/vim-scripts/mingw.vim
True,rkwitt/imageviewer,imageviewer,http://github.com/rkwitt/imageviewer
True,stephenjin/fsphotoview,fsphotoview,http://github.com/stephenjin/fsphotoview
