name,description,start,users,Registration post responses and questions ,Ranking
43 Things ,Goal setting and achievement ,1 January 2005 ,"3,000,000[2] ",Open ,"12,914[3]"
Academia.edu ,Social networking site for academics/researchers ,September 2008 ,"211,000[4] ",Open ,"1,995[5]"
About.me ,Social networking site ,October 2009 ,"5,000,000[6] ",Open ,1447
Advogato ,Free and open source software developers ,1999,"13,575[7] ",Open ,"292,620[8]"
aNobii ,Books ,2006,Open ,"26,939[9]",
AsianAvenue ,A social network for the Asian American community ,1997,Open ,"170,384[10]",
aSmallWorld ,European jet set and social elite world-wide ,March 2004 ,"550,000[11] ",Invite-only ,"580,060[12]"
Athlinks ,"Running, Swimming ",2001,"139,458[13] ",Open ,"69,170[14]"
Audimated.com ,Independent music ,2010,Open ,"656,507[15]",
Bebo ,General ,July 2005 ,"117,000,000[16] ",Open to people 13 and older ,"4,169[17]"
Biip.no ,Norwegian community ,1 June 2005 ,"430,000[18] ",Requires Norwegian phone number ,"81,916[19]"
BlackPlanet ,Black Americans ,1 September 1999 ,"20,000,000[20] ",Open ,"7,193[21]"
Blauk ,Anyone who wants to tell something about a stranger or acquaintance. ,2010,Open to people 13 and older. ,"1,081,215[22]",
Blogster ,Blogging community ,24 November 2005 ,"85,579[23] ",Open ,"12,048[24]"
Bolt.com ,General ,1996,Open ,"589,595[25]",
Busuu ,"Language learning community (headquartered in Madrid, Spain) ",16 May 2008 ,"12,000,000[26] ",Open ,"4,976[27]"
Buzznet ,Music and pop-culture ,2005,"10,000,000[28] ",Open ,"6,955[29]"
CafeMom ,Mothers ,December 2006 ,"1,250,000[30] ",Open to moms and moms-to-be ,"1,293[31]"
Care2 ,Green living and social activism ,1998,"9,961,947[32] ",Open ,"1,930[33]"
CaringBridge ,"Not for profit providing free websites that connect family and friends during a serious health event, care and recovery.[34] ","9,500,000[35] ",Open to people 18 and older[36] ,"4,279[37]",
Classmates.com ,"School, college, work and the military ",1995,"50,000,000[38] ",Open to people 18 and older[39] ,"3,284[40]"
Cloob ,General. Popular in Iran ,2004,Open ,749[41],
CouchSurfing ,Worldwide network for making connections between travelers and the communities they visit. ,2003,"2,967,421[42] ",Open ,"2,231[43]"
CozyCot ,East Asian and Southeast Asian women ,2001,"150,000[44] ",Open ,"36,959[45]"
Cross.tv ,Faith Based social network for Christian believers from around the world ,2008,"450,000[46] ",Open ,"53,394[47]"
Crunchyroll ,Anime and forums. ,2006,Open ,"5,721[48]",
Cyworld ,General. Popular in South Korea. ,1999,"24,000,000[49] ",Open ,"1,616[50]"
DailyBooth ,Photo-blogging site where users upload a photo every day ,13 February 2009 ,Closed ,"5,963[51]",
DailyStrength ,"Medical & emotional support community - Physical health, Mental health, Support groups ",4 November 2007 ,Open ,"10,511[52]",
delicious ,Social bookmarking allowing users to locate and save websites that match their own interests ,September 2003 ,"8,822,921[53] ",Open ,436[54]
deviantART ,Art community ,7 August 2000 ,"22,000,000[55] ",Open to people 13 and older ,131[56]
Diaspora* ,"Decentralized, privacy aware, general (open source) ",November 2010 ,"370,000+[n 1][57] ",Open ,"36,792[n 2][58]"
didlr ,Drawing service ,204515,Open ,"2,869,116[59]",
Disaboom ,"People with disabilities (Amputee, cerebral palsy, MS, and other disabilities) ",Open ,"218,135[60]",,
Dol2day ,"Politic community, Social network, Internet radio (German-speaking countries) ","40,200[61] ",Open ,"385,237[62]",
DontStayIn ,Clubbing (primarily UK) ,Open ,"86,535[63]",,
Draugiem.lv ,"General (primarily LV, LT, HU) ","2,600,466[64] ",Invitation only ,"2,698[65]",
