Cluster,Cluster Size,PushEvents,WatchEvents,IssuesEvents,ForkEvents,PullRequestEvents,DeleteEvents,MemberEvents
Cluster1,0.4154,37.8558,0.5582,0.1071,0.2714,0.0681,0.5395,0.3913
Cluster2,0.1719,101.9784,1.4963,0.548,0.8441,0.592,1.1042,0.6974
Cluster3,0.1602,25.8494,4.8105,4.1702,3.367,5.4367,0.493,0.4065
Cluster4,0.07,11.6828,37.5955,4.057,13.1038,3.8061,0.1237,0.0835
Cluster5,0.0517,274.8046,3.0703,3.2874,1.8165,1.5937,3.7096,1.0783
Cluster6,0.0418,59.4822,3.2871,45.3186,1.4117,1.5121,0.7249,0.7185
Cluster7,0.0329,120.0542,24.3412,19.9709,16.5073,40.133,2.825,0.6811
Cluster8,0.0199,45.2727,171.9547,24.8788,45.4975,18.1176,0.6637,0.215
Cluster9,0.011,837.4982,10.5204,14.5213,6.6875,10.1014,13.4399,1.2945
Cluster10,0.009,279.8416,18.2329,271.593,8.7327,14.7233,4.257,1.5208
Cluster11,0.0061,98.0372,651.4305,85.6326,144.2978,52.5785,1.7725,0.3543
Cluster12,0.0056,521.3906,150.0985,167.2294,84.8281,233.9391,13.1447,1.237
Cluster13,0.0017,347.9811,2163.7111,369.7815,522.694,226.3084,7.6589,0.7374
Cluster14,0.0012,4078.6163,70.4727,31.3329,56.7582,97.8933,48.3581,0.9858
Cluster15,0.0011,1747.4118,407.2441,1166.3264,230.2784,943.3507,40.4906,1.3311
Cluster16,0.0002,2735.7995,7335.098,2411.1979,3212.4303,2830.4658,39.3498,0.8466
Cluster17,0.0001,428.4644,84.6712,17047.9321,60.5167,124.0917,3.497,0.9104
Cluster18,0,66216.0576,48.9228,0.361,42.194,24.9905,15.0981,0.0039
