repository_organization,Unnamed: 0,Repos,ReposWhichAreForks,PushEvents,Pushers,FirstPush,LastPush,PushDurationDays,repository_homepages,repository_owners,repository_languages,WatchEvents,ForkEvents,IssuesEvents,IssueCommentEvents,DownloadEvents,PullRequestsClosed,PullRequestsMerged,SO_repos_linked_to,SO_posts_linking_to_orgs_repos,SO_answers_linking_to_orgs_repos,org_created,TempTable,blog,FirstEvent,EarlyEvents,MinsTo20Events,First20_Creates,First20_Forks,First20_Pushes,First20_WatchEvents,First20_IssueEvents,First20_PullRequests,First20_DistinctRepos,First20_OtherEvents,Event20Time,type
,12412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x42c,0x42c,2.0,0.0,43.0,2.0,1339883182.0,1362192844.0,259.0,0.0,1.0,1.0,9.0,10.0,7.0,2.0,0.0,6.0,5.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,1.0
0xC3,0xC3,5.0,0.0,19.0,2.0,1332416567.0,1357399511.0,290.0,1.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,1.0
320press,320press,2.0,0.0,88.0,2.0,1333684469.0,1383267669.0,574.0,2.0,1.0,2.0,1483.0,581.0,184.0,287.0,10.0,53.0,41.0,0.0,0.0,0.0,2011-12-02 00:00:00,0.0,http://320press.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
88mph,88mph,1.0,0.0,22.0,1.0,1340276802.0,1343248716.0,35.0,2.0,1.0,1.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-06-01 00:00:00,0.0,http://88mph.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,1.0
ALASdoo,ALASdoo,2.0,0.0,48.0,1.0,1364818208.0,1369826493.0,58.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-03-02 00:00:00,3.0,http://alasdoo.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
AOSP-TD,AOSP-TD,32.0,105.0,150.0,8.0,1383771213.0,1385318644.0,18.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2013-11-00 00:00:00,1.0,http://goo.gl/HLVBsj,,20.0,71.83,20.0,1.0,0.0,0.0,0.0,0.0,10.0,20.0,2013-11-06 03:41:19,2.0
AhuraLab,AhuraLab,9.0,1.0,79.0,2.0,1350835878.0,1382306162.0,365.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-10-01 00:00:00,4.0,http://www.ahuralab.com,,3.0,90566.1,0.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,2012-12-23 12:37:24,2.0
AllInOne,AllInOne,1.0,0.0,1007.0,2.0,1334807515.0,1361634297.0,311.0,0.0,1.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,1.0
Anacode,Anacode,6.0,4.0,218.0,2.0,1332396373.0,1385100368.0,610.0,3.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-06-02 00:00:00,0.0,http://www.sanger.ac.uk/resources/software/otterlace/,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
AntaniCraft,AntaniCraft,4.0,1.0,87.0,3.0,1370443808.0,1383489043.0,151.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-06-00 00:00:00,2.0,,,20.0,3001.07,2.0,0.0,18.0,0.0,0.0,0.0,1.0,2.0,2013-06-07 16:36:03,2.0
ArtFireCom,ArtFireCom,8.0,10.0,21.0,2.0,1357759487.0,1376501930.0,217.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-12-01 00:00:00,4.0,http://www.artfire.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
AssassinJS,AssassinJS,3.0,1.0,172.0,2.0,1362492039.0,1384513155.0,255.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-03-00 00:00:00,3.0,,,20.0,2844.13,6.0,1.0,13.0,1.0,0.0,0.0,1.0,6.0,2013-03-07 13:13:09,1.0
Assembla,Assembla,6.0,8.0,25.0,5.0,1346234766.0,1372836014.0,308.0,5.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2010-12-00 00:00:00,0.0,www.assembla.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
Atc-it,Atc-it,1.0,2.0,17.0,1.0,1377692849.0,1383655201.0,70.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-10-02 00:00:00,4.0,atc-it.fr,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
AugustineIdeas,AugustineIdeas,2.0,0.0,25.0,2.0,1362011544.0,1367855412.0,68.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-01-03 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,1.0
BBC,BBC,7.0,2.0,166.0,4.0,1332279170.0,1380031029.0,553.0,2.0,1.0,2.0,113.0,26.0,65.0,68.0,0.0,32.0,25.0,0.0,0.0,0.0,2011-06-00 00:00:00,0.0,http://www.bbc.co.uk/blogs/internet,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
