jobId,Job Type,State,Start Time,Duration
job_Ce5To1eLtlqHrxA06kWZB2gFYtA,query,SUCCESS,19 Sep 13:10:23,0:06:05
job_VkMYnkty-KVVsTYQ5D6G4B5rCVs,query,FAILURE,19 Sep 13:09:24,0:00:01
job_Z29Q8gaSThwOWPUbVRMNICokdr8,query,SUCCESS,19 Sep 12:38:55,0:00:19
job_VNCWKL7GvnWtCIhAtt9GasmDGow,query,SUCCESS,19 Sep 12:38:38,0:00:02
job_pYwTgp-5dz-4smQnNr66DSEYHAs,query,SUCCESS,15 Sep 13:27:13,0:00:16
job_ra1YpWHrnGFGiJdE2YAonPJ7ZPk,query,SUCCESS,15 Sep 12:55:35,0:00:08
job_5gHBiTLUa9IPcF_cnJznTC2Awpk,query,SUCCESS,15 Sep 12:35:11,0:00:00
job_YSn4BKSnVCIopHZpOQ5biVIKk6Y,query,SUCCESS,15 Sep 12:27:21,0:00:00
job_3fAsFkf4SIllNrmb_W7f5bv4fUA,query,SUCCESS,15 Sep 12:13:32,0:00:12
job_zGHMZmC5weu6PVxDBK3pY76jmTo,query,SUCCESS,15 Sep 11:12:33,0:00:00
job_U-eoIDOXs9P2KwFrTePD0XPuweY,query,SUCCESS,15 Sep 11:11:18,0:00:00
job_Bfq3WcAoIqLOAM9exEkOs-3EHJ8,query,SUCCESS,15 Sep 09:41:39,0:00:16
job_bbS61pAnYraulMW3jVEKa1X_zOU,query,SUCCESS,14 Sep 16:43:52,0:00:10
job_I6ZrEJcsvP86fURSYkz9GcH6ZC0,query,SUCCESS,13 Sep 12:02:41,0:00:03
job_loqUwmLTtrKr4d0wa9kqg9gMI5k,query,SUCCESS,13 Sep 11:59:08,0:00:00
job_rpwmPZQgCoQkIyI5d5IrxaTACHA,query,SUCCESS,13 Sep 11:59:05,0:00:01
job_FPG9PIr0aJzFB-ZQdvi1paRMMzM,query,SUCCESS,13 Sep 11:36:59,0:00:00
job_tC9MurmUFz6pNvUSHUEoGZpTKFA,query,SUCCESS,13 Sep 11:35:48,0:00:01
job_y2IzDvZ1UP3iO3b61qfF58I6tA8,query,SUCCESS,13 Sep 11:21:54,0:00:01
job_HdA_eoWS9lN3X3mxZSxnkBjZcQ8,query,SUCCESS,13 Sep 10:35:43,0:00:02
job_sIEWo1JPrunfGjVjsHtQIUYm6wU,query,FAILURE,13 Sep 10:32:56,0:00:00
job_67aSOKtTqfoKZ-YbZgmJ4IyeaII,query,SUCCESS,05 Sep 21:41:43,0:00:04
job_dEp5n9Qs0yGkhwKgH-VuETfRtzU,query,SUCCESS,05 Sep 21:15:29,0:00:04
job_-0h3doGn9ilauwDev_WiHgZPLfc,query,SUCCESS,05 Sep 21:14:56,0:00:04
job_mAf64MF5NxAzD9JmZjyVXJiSTk4,query,SUCCESS,05 Sep 21:14:16,0:00:04
job_of6IcnvDj0JAAKhVos_9CtmPJgI,query,SUCCESS,05 Sep 19:12:34,0:00:03
job_HsteT8hsIVx3ryoDMbfZkJAjdqo,query,SUCCESS,05 Sep 19:09:22,0:00:04
