domain1,domain2,intersection
servers,moocs,116
servers,policy_law,232
servers,editors,28514
servers,data_statistics,37071
servers,webpages,2013
servers,images,1843
servers,ides,1126
servers,documents,5374
servers,spam,3819
servers,integration,234
servers,web_frontend_javascript,1294
servers,api_sdk,3595
servers,icons_fonts,1257
servers,webframeworks,4012
servers,css,4351
servers,compilers,44951
servers,programming_language,13590
servers,gaming,1749
servers,tests,6454
servers,books_manuals,20221
servers,git,4071
servers,machine_learning,2076
servers,packages,22524
servers,science,2487
servers,geo_gis,5055
servers,devices,8193
servers,internet_protocols,8124
servers,dotfiles,2749
servers,social_media,1968
servers,databases,20057
moocs,policy_law,0
moocs,editors,1257
moocs,data_statistics,2491
moocs,webpages,23
moocs,images,871
moocs,ides,41
moocs,documents,84
moocs,spam,314
moocs,integration,0
moocs,web_frontend_javascript,12
moocs,api_sdk,8
moocs,icons_fonts,73
moocs,webframeworks,14
moocs,css,46
moocs,compilers,436
moocs,programming_language,622
moocs,gaming,80
moocs,tests,112
moocs,books_manuals,53
moocs,git,40
moocs,machine_learning,233
moocs,packages,59
moocs,science,818
moocs,geo_gis,23
moocs,devices,2014
moocs,internet_protocols,518
moocs,dotfiles,15
moocs,social_media,271
moocs,databases,15
policy_law,editors,1735
policy_law,data_statistics,1843
policy_law,webpages,307
policy_law,images,223
policy_law,ides,18
policy_law,documents,280
policy_law,spam,247
policy_law,integration,2
policy_law,web_frontend_javascript,43
policy_law,api_sdk,41
policy_law,icons_fonts,73
policy_law,webframeworks,51
policy_law,css,900
policy_law,compilers,747
policy_law,programming_language,440
policy_law,gaming,87
policy_law,tests,117
policy_law,books_manuals,2366
policy_law,git,476
policy_law,machine_learning,150
policy_law,packages,256
policy_law,science,4857
policy_law,geo_gis,252
policy_law,devices,287
policy_law,internet_protocols,1107
policy_law,dotfiles,149
policy_law,social_media,73
policy_law,databases,27
editors,data_statistics,238449
editors,webpages,7117
editors,images,74410
editors,ides,34103
editors,documents,35866
editors,spam,19655
editors,integration,2212
editors,web_frontend_javascript,29515
editors,api_sdk,12456
editors,icons_fonts,12670
editors,webframeworks,14620
editors,css,32141
editors,compilers,63453
editors,programming_language,58519
editors,gaming,14426
editors,tests,19606
editors,books_manuals,36137
editors,git,17607
editors,machine_learning,9022
editors,packages,37336
editors,science,27533
editors,geo_gis,40857
editors,devices,68592
editors,internet_protocols,46494
editors,dotfiles,89648
editors,social_media,16054
editors,databases,21211
data_statistics,webpages,2528
data_statistics,images,18982
data_statistics,ides,2983
data_statistics,documents,18437
data_statistics,spam,14313
data_statistics,integration,1332
data_statistics,web_frontend_javascript,23496
data_statistics,api_sdk,11927
data_statistics,icons_fonts,11616
data_statistics,webframeworks,14679
data_statistics,css,31123
data_statistics,compilers,51549
data_statistics,programming_language,50336
data_statistics,gaming,12731
data_statistics,tests,20854
data_statistics,books_manuals,43219
data_statistics,git,13239
data_statistics,machine_learning,21622
data_statistics,packages,72926
data_statistics,science,32540
data_statistics,geo_gis,11710
data_statistics,devices,34751
data_statistics,internet_protocols,35112
data_statistics,dotfiles,12012
data_statistics,social_media,11730
data_statistics,databases,16165
webpages,images,239
webpages,ides,160
webpages,documents,2891
webpages,spam,499
webpages,integration,164
webpages,web_frontend_javascript,421
webpages,api_sdk,383
webpages,icons_fonts,320
webpages,webframeworks,225
webpages,css,1109
webpages,compilers,9531
webpages,programming_language,1850
webpages,gaming,331
webpages,tests,703
webpages,books_manuals,893
webpages,git,151362
webpages,machine_learning,385
webpages,packages,1170
webpages,science,551
webpages,geo_gis,656
webpages,devices,383
webpages,internet_protocols,2598
webpages,dotfiles,306
webpages,social_media,825
webpages,databases,695
images,ides,711
images,documents,3519
images,spam,4624
images,integration,57
images,web_frontend_javascript,12301
images,api_sdk,1132
images,icons_fonts,2775
images,webframeworks,2196
images,css,5641
images,compilers,10432
images,programming_language,8635
images,gaming,3240
images,tests,2931
images,books_manuals,4912
images,git,595
images,machine_learning,1873
images,packages,6331
images,science,5777
images,geo_gis,2471
images,devices,13380
images,internet_protocols,5167
images,dotfiles,795
images,social_media,3968
images,databases,959
ides,documents,1249
ides,spam,517
ides,integration,177
ides,web_frontend_javascript,724
ides,api_sdk,476
ides,icons_fonts,1156
ides,webframeworks,589
ides,css,510
ides,compilers,11126
ides,programming_language,3213
ides,gaming,337
ides,tests,1181
ides,books_manuals,569
ides,git,646
ides,machine_learning,164
ides,packages,755
ides,science,630
ides,geo_gis,315
ides,devices,22082
ides,internet_protocols,1282
ides,dotfiles,389
ides,social_media,496
ides,databases,305
documents,spam,8822
documents,integration,71
documents,web_frontend_javascript,6104
documents,api_sdk,3249
documents,icons_fonts,2602
documents,webframeworks,3486
documents,css,9393
documents,compilers,15243
documents,programming_language,13847
documents,gaming,2888
documents,tests,5659
documents,books_manuals,12761
documents,git,5189
documents,machine_learning,1387
documents,packages,5234
documents,science,11453
documents,geo_gis,2874
documents,devices,5639
documents,internet_protocols,6478
documents,dotfiles,1948
documents,social_media,2307
documents,databases,3207
spam,integration,17
spam,web_frontend_javascript,1770
spam,api_sdk,839
spam,icons_fonts,1263
spam,webframeworks,792
spam,css,4508
spam,compilers,15214
spam,programming_language,3420
spam,gaming,2153
spam,tests,1572
spam,books_manuals,17610
spam,git,1482
spam,machine_learning,911
spam,packages,9522
spam,science,2980
spam,geo_gis,1188
spam,devices,4697
spam,internet_protocols,8951
spam,dotfiles,189
spam,social_media,3087
spam,databases,1192
integration,web_frontend_javascript,40
integration,api_sdk,58
integration,icons_fonts,20
integration,webframeworks,42
integration,css,80
integration,compilers,205
integration,programming_language,256
integration,gaming,22
integration,tests,468
integration,books_manuals,432
integration,git,300
integration,machine_learning,27
integration,packages,200
integration,science,48
integration,geo_gis,45
integration,devices,115
integration,internet_protocols,174
integration,dotfiles,12
integration,social_media,20
integration,databases,39
web_frontend_javascript,api_sdk,1183
web_frontend_javascript,icons_fonts,3766
web_frontend_javascript,webframeworks,16852
web_frontend_javascript,css,8818
web_frontend_javascript,compilers,14645
web_frontend_javascript,programming_language,6371
web_frontend_javascript,gaming,1054
web_frontend_javascript,tests,3505
web_frontend_javascript,books_manuals,5727
web_frontend_javascript,git,1035
web_frontend_javascript,machine_learning,4305
web_frontend_javascript,packages,3787
web_frontend_javascript,science,2854
web_frontend_javascript,geo_gis,1287
web_frontend_javascript,devices,5760
web_frontend_javascript,internet_protocols,6181
web_frontend_javascript,dotfiles,206
web_frontend_javascript,social_media,3329
web_frontend_javascript,databases,3770
api_sdk,icons_fonts,557
api_sdk,webframeworks,1227
api_sdk,css,1457
api_sdk,compilers,4558
api_sdk,programming_language,24259
api_sdk,gaming,959
api_sdk,tests,4545
api_sdk,books_manuals,11487
api_sdk,git,1570
api_sdk,machine_learning,557
api_sdk,packages,2183
api_sdk,science,1050
api_sdk,geo_gis,1251
api_sdk,devices,13055
api_sdk,internet_protocols,3532
api_sdk,dotfiles,1117
api_sdk,social_media,14194
api_sdk,databases,1912
icons_fonts,webframeworks,818
icons_fonts,css,10199
icons_fonts,compilers,6076
icons_fonts,programming_language,1698
icons_fonts,gaming,707
icons_fonts,tests,795
icons_fonts,books_manuals,1202
icons_fonts,git,898
icons_fonts,machine_learning,6482
icons_fonts,packages,6588
icons_fonts,science,981
icons_fonts,geo_gis,544
icons_fonts,devices,2081
icons_fonts,internet_protocols,2562
icons_fonts,dotfiles,6979
icons_fonts,social_media,2039
icons_fonts,databases,608
webframeworks,css,5735
webframeworks,compilers,6141
webframeworks,programming_language,13364
webframeworks,gaming,332
webframeworks,tests,3499
webframeworks,books_manuals,5692
webframeworks,git,886
webframeworks,machine_learning,2795
webframeworks,packages,1984
webframeworks,science,1755
webframeworks,geo_gis,2632
webframeworks,devices,428
webframeworks,internet_protocols,4435
webframeworks,dotfiles,301
webframeworks,social_media,3855
webframeworks,databases,2388
css,compilers,12581
css,programming_language,17398
css,gaming,2798
css,tests,3644
css,books_manuals,8101
css,git,2640
css,machine_learning,89430
css,packages,8719
css,science,4456
css,geo_gis,2420
css,devices,3649
css,internet_protocols,11067
css,dotfiles,1342
css,social_media,9941
css,databases,4355
compilers,programming_language,31020
compilers,gaming,11019
compilers,tests,10783
compilers,books_manuals,24392
compilers,git,14398
compilers,machine_learning,5766
compilers,packages,23916
compilers,science,14087
compilers,geo_gis,4843
compilers,devices,17065
compilers,internet_protocols,17908
compilers,dotfiles,3652
compilers,social_media,9075
compilers,databases,27143
programming_language,gaming,10670
programming_language,tests,15911
programming_language,books_manuals,24520
programming_language,git,5242
programming_language,machine_learning,4921
programming_language,packages,13925
programming_language,science,13023
programming_language,geo_gis,6857
programming_language,devices,6413
programming_language,internet_protocols,22600
programming_language,dotfiles,5650
programming_language,social_media,16686
programming_language,databases,14202
gaming,tests,3047
gaming,books_manuals,7162
gaming,git,874
gaming,machine_learning,588
gaming,packages,2478
gaming,science,5890
gaming,geo_gis,1842
gaming,devices,3931
gaming,internet_protocols,5535
gaming,dotfiles,359
gaming,social_media,1263
gaming,databases,628
tests,books_manuals,6716
tests,git,96133
tests,machine_learning,1546
tests,packages,6032
tests,science,2507
tests,geo_gis,4379
tests,devices,9375
tests,internet_protocols,5601
tests,dotfiles,774
tests,social_media,3150
tests,databases,3551
