,is_databases,repo,terms,url
0,True,axsh/vmapp-redis,vmapp redis,http://github.com/axsh/vmapp-redis
1,True,SibghatullahSheikh/node-mysql2,node mysql2,http://github.com/SibghatullahSheikh/node-mysql2
2,True,jducz/d3,d3,http://github.com/jducz/d3
3,True,ibrahimatay/elasticsearch,elasticsearch,http://github.com/ibrahimatay/elasticsearch
4,True,VeRtYsHkA3000/libmysql-android,libmysql android,http://github.com/VeRtYsHkA3000/libmysql-android
5,True,cjcorrigan/node-mysql,node mysql,http://github.com/cjcorrigan/node-mysql
6,True,AlexKalinin/ProgTimer,prog timer,http://github.com/AlexKalinin/ProgTimer
7,True,richardwilly98/elasticsearch-lang-javascript,elasticsearch lang javascript,http://github.com/richardwilly98/elasticsearch-lang-javascript
8,True,jokeke/kphp-kdb,kphp kdb,http://github.com/jokeke/kphp-kdb
9,True,burtbeckwith/grails-standalone-tomcat-redis,grails standalone tomcat redis,http://github.com/burtbeckwith/grails-standalone-tomcat-redis
10,True,alexdl/titan,titan,http://github.com/alexdl/titan
11,True,karven/mongodb-mongo-java-driver-r2.6.1-7-g6037357.zip,mongodb mongo java driver r2 6 1 7 g  zip,http://github.com/karven/mongodb-mongo-java-driver-r2.6.1-7-g6037357.zip
12,True,antoniovazquezblanco/sunxi-bin-archive,sunxi bin archive,http://github.com/antoniovazquezblanco/sunxi-bin-archive
13,True,mediaprojects/phpredis,phpredis,http://github.com/mediaprojects/phpredis
14,True,trompetadeldesierto/sindicato,sindicato,http://github.com/trompetadeldesierto/sindicato
15,True,guilhermechapiewski/titanium-jasmine,titanium jasmine,http://github.com/guilhermechapiewski/titanium-jasmine
16,True,yesnocancel/openemu-archivevg-matcher,openemu archivevg matcher,http://github.com/yesnocancel/openemu-archivevg-matcher
17,True,mungeon/node-mongodb-native,node mongodb native,http://github.com/mungeon/node-mongodb-native
18,True,AHOUSAIN/d3-mapping,d3 mapping,http://github.com/AHOUSAIN/d3-mapping
19,True,dgrinberg/kohana-sqlite-database,kohana sqlite database,http://github.com/dgrinberg/kohana-sqlite-database
20,True,fbgm/CompassApp,compass app,http://github.com/fbgm/CompassApp
21,True,dariusc93/node-mysqladmin,node mysqladmin,http://github.com/dariusc93/node-mysqladmin
22,True,entagen/grails-solr-demo,grails solr demo,http://github.com/entagen/grails-solr-demo
23,True,brainwane/otwarchive,otwarchive,http://github.com/brainwane/otwarchive
24,True,colster/d3,d3,http://github.com/colster/d3
25,True,johnd-itison/mysql,mysql,http://github.com/johnd-itison/mysql
26,True,tutsplus/learning-mongodb,learning mongodb,http://github.com/tutsplus/learning-mongodb
27,True,akeshavan/d3,d3,http://github.com/akeshavan/d3
28,True,bbonet/as3couchdb,as3couchdb,http://github.com/bbonet/as3couchdb
29,True,zahpee/leveldb,leveldb,http://github.com/zahpee/leveldb
30,True,simplyianm/CrimsonAdmin,crimson admin,http://github.com/simplyianm/CrimsonAdmin
31,True,newsdev/chef-int-solr,chef int solr,http://github.com/newsdev/chef-int-solr
32,True,AlexanderKozhevin/kphp-kdb,kphp kdb,http://github.com/AlexanderKozhevin/kphp-kdb
33,True,leakyMirror/d3-blank-project,d3 blank project,http://github.com/leakyMirror/d3-blank-project
34,True,3Crowd/Virtuoso-prototype,virtuoso,http://github.com/3Crowd/Virtuoso-prototype
35,True,joukou/riak_kv,riak kv,http://github.com/joukou/riak_kv
