repo	terms	is_editors	url
drupalprojects/views_slideshow	views slideshow	false	http://github.com/drupalprojects/views_slideshow
asael2/satenspr	satenspr	false	http://github.com/asael2/satenspr
sepulworld/puppet-mongodb	puppet mongodb	false	http://github.com/sepulworld/puppet-mongodb
rainux/vim-desert-warm-256	vim desert warm  	True	http://github.com/rainux/vim-desert-warm-256
ten0s/emacs	emacs	True	http://github.com/ten0s/emacs
mhinz/vim-rfc	vim rfc	True	http://github.com/mhinz/vim-rfc
dream-true/vi---	vi   	True	http://github.com/dream-true/vi---
mhennemeyer/context	context	false	http://github.com/mhennemeyer/context
ronaldpatino/LuaSerial	lua serial	false	http://github.com/ronaldpatino/LuaSerial
dburger/errorlytics-plugins	errorlytics plugins	false	http://github.com/dburger/errorlytics-plugins
uniqueculture/HL7-Visualizer	h l visualizer	false	http://github.com/uniqueculture/HL7-Visualizer
laplacesdemon/ZendFramework2-Sample-Application	zend framework sample application	false	http://github.com/laplacesdemon/ZendFramework2-Sample-Application
slaubi/sfDoctrineRowLevelAccessBehaviorPlugin	sfdoctrinerowlevelaccessbehaviorplugin	false	http://github.com/slaubi/sfDoctrineRowLevelAccessBehaviorPlugin
yanzm/typescript-project-sample	typescript project sample	false	http://github.com/yanzm/typescript-project-sample
500Startups-cookbooks/minidash	minidash	false	http://github.com/500Startups-cookbooks/minidash
rainsongsky/docker-desktop	docker desktop	false	http://github.com/rainsongsky/docker-desktop
froseph/emacs.d	emacs d	True	http://github.com/froseph/emacs.d
jarrettkaupelis/proprietary_vendor_samsung	proprietary vendor samsung	false	http://github.com/jarrettkaupelis/proprietary_vendor_samsung
ddb/Gravity	gravity	false	http://github.com/ddb/Gravity
travis-ci/travis-enqueue	travis enqueue	false	http://github.com/travis-ci/travis-enqueue
kosba/Twitter4j-android-Sample	twitter sample	false	http://github.com/kosba/Twitter4j-android-Sample
ggtwlb0314/neutron	neutron	false	http://github.com/ggtwlb0314/neutron
filipessouza/videogular	videogular	false	http://github.com/filipessouza/videogular
ultros/idevice-exif-parser	idevice exif parser	false	http://github.com/ultros/idevice-exif-parser
Lens-F/android_device_htc_jewel	android device htc jewel	false	http://github.com/Lens-F/android_device_htc_jewel
ry5n/vanilla-fitvids	vanilla fitvids	false	http://github.com/ry5n/vanilla-fitvids
pygeek/spin.js	spin js	false	http://github.com/pygeek/spin.js
pouicr/authorization-server-sample	authorization server sample	false	http://github.com/pouicr/authorization-server-sample
metagriffin/lightsyncml	lightsyncml	false	http://github.com/metagriffin/lightsyncml
pikachukaki/android_device_huawei_msm7x30-common	android device huawei msm7x  common	false	http://github.com/pikachukaki/android_device_huawei_msm7x30-common
dpackcartonmachine/Corrugated-Cardboard-Four-Link-Slot-Cutter---cutting-machine--524151	corrugated cardboard four link slot cutter	false	http://github.com/dpackcartonmachine/Corrugated-Cardboard-Four-Link-Slot-Cutter---cutting-machine--524151
saurabh-gupta7869/chrome-app-samples	chrome app samples	false	http://github.com/saurabh-gupta7869/chrome-app-samples
wordlink/CHTCollectionViewWaterfallLayout	c h t collection view waterfall layout	false	http://github.com/wordlink/CHTCollectionViewWaterfallLayout
kmhtoo/sses-node-example	sses node example	false	http://github.com/kmhtoo/sses-node-example
CalvinDale/nw-sample-apps	nw sample apps	false	http://github.com/CalvinDale/nw-sample-apps
orta/UbiquityStoreManager	ubiquity store manager	false	http://github.com/orta/UbiquityStoreManager
byouloh/Bore	bore	false	http://github.com/byouloh/Bore
champierre/ios-lock-rotation-sample	ios lock rotation sample	false	http://github.com/champierre/ios-lock-rotation-sample
sujithchakka/android-undergarment	android undergarment	false	http://github.com/sujithchakka/android-undergarment
PKRoma/Fody	fody	false	http://github.com/PKRoma/Fody
erlangdev/Erlang-Naive-Bayes-Movies	erlang naive bayes movies	false	http://github.com/erlangdev/Erlang-Naive-Bayes-Movies
gmurdocca/kvmc	kvmc	false	http://github.com/gmurdocca/kvmc
Eimatsu/iOS-System-Services	ios system services	false	http://github.com/Eimatsu/iOS-System-Services
mjhea0/django-rest-sample	django rest sample	false	http://github.com/mjhea0/django-rest-sample
qnub/django-boto	django boto	false	http://github.com/qnub/django-boto
sapient/Tablekit-Demonstration	tablekit demonstration	false	http://github.com/sapient/Tablekit-Demonstration
shrek82/My-Sublime-Text-Setting	my sublime text setting	True	http://github.com/shrek82/My-Sublime-Text-Setting
jbbfvt4112/Weighing-Indicator	weighing indicator	false	http://github.com/jbbfvt4112/Weighing-Indicator
patrikeidelof/hairy-octo-sansa	hairy octo sansa	false	http://github.com/patrikeidelof/hairy-octo-sansa
Zagryaznitel/vino	vino	false	http://github.com/Zagryaznitel/vino
miwalbigi/system-builders-vista-download	system builders vista download	false	http://github.com/miwalbigi/system-builders-vista-download
paradigm/vim-startify	vim startify	True	http://github.com/paradigm/vim-startify
mwenger1/responsive-convio-wrapper	responsive convio wrapper	false	http://github.com/mwenger1/responsive-convio-wrapper
jeremiahshirk/gweetr	gweetr	false	http://github.com/jeremiahshirk/gweetr
propertyshelf/raptus.article.core	raptus article core	false	http://github.com/propertyshelf/raptus.article.core
diogobaeder/youtube-dl	youtube dl	false	http://github.com/diogobaeder/youtube-dl
OpenMunicipalities/sample_app	sample app	false	http://github.com/OpenMunicipalities/sample_app
hanwiz/acts-as-taggable-on	acts as taggable on	false	http://github.com/hanwiz/acts-as-taggable-on
gochamps/device_softwinner_a10sk	device softwinner a sk	false	http://github.com/gochamps/device_softwinner_a10sk
sevyf/dotfiles	dotfiles	True	http://github.com/sevyf/dotfiles
Web5design/open-qa	open qa	false	http://github.com/Web5design/open-qa
ERahnen/Cascades-Samples	cascades samples	false	http://github.com/ERahnen/Cascades-Samples
dpackcartonmachine/ZXJ-2800-full-speed--automatic-fold-gluing-machine--466455	z x j	false	http://github.com/dpackcartonmachine/ZXJ-2800-full-speed--automatic-fold-gluing-machine--466455
slanted/vim-airline	vim airline	True	http://github.com/slanted/vim-airline
kjmm22/JavaSamples	java samples	false	http://github.com/kjmm22/JavaSamples
cran/HAC	h a c	false	http://github.com/cran/HAC
henryfisherhardy/iOS7-Sampler	ios7 sampler	false	http://github.com/henryfisherhardy/iOS7-Sampler
KatieP/eco-thermometers	eco thermometers	false	http://github.com/KatieP/eco-thermometers
omarbenhamid/JSF-4-Mobile	j s f mobile	false	http://github.com/omarbenhamid/JSF-4-Mobile
AtrainDeluxe/sample_app	sample app	false	http://github.com/AtrainDeluxe/sample_app
Erreur32/EyeWitness	eye witness	false	http://github.com/Erreur32/EyeWitness
dhilowitz/BackboneJSModalView	backbone j s modal view	false	http://github.com/dhilowitz/BackboneJSModalView
catkids/jQuery-File-Upload	jquery file upload	false	http://github.com/catkids/jQuery-File-Upload
zarokima/MastersProject	masters project	false	http://github.com/zarokima/MastersProject
K-Phoen/vim-xdebug	vim xdebug	True	http://github.com/K-Phoen/vim-xdebug
steffes/yourworldoftext	yourworldoftext	false	http://github.com/steffes/yourworldoftext
WillGDesigner/Video	video	false	http://github.com/WillGDesigner/Video
esamysap/esamysap.github.com	esamysap github com	false	http://github.com/esamysap/esamysap.github.com
qqiao/yordle	yordle	false	http://github.com/qqiao/yordle
juggy/redis-viewer	redis viewer	false	http://github.com/juggy/redis-viewer
AIR-Engineering/Photos-and-Videos	photos videos	false	http://github.com/AIR-Engineering/Photos-and-Videos
achellies/droid-comic-viewer	droid comic viewer	false	http://github.com/achellies/droid-comic-viewer
xxhp/TMQuiltView	t m quilt view	false	http://github.com/xxhp/TMQuiltView
kamchy/Lambda	lambda	false	http://github.com/kamchy/Lambda
bryanlima/SlidingMenu	sliding menu	false	http://github.com/bryanlima/SlidingMenu
lnickers2004/aspnet-webapi-samples-webdotnet	aspnet webapi samples webdotnet	false	http://github.com/lnickers2004/aspnet-webapi-samples-webdotnet
Bozzified/jquery-placeholder	jquery placeholder	false	http://github.com/Bozzified/jquery-placeholder
dudaspm/Pittsburgh-Data-Visualization	pittsburgh data visualization	false	http://github.com/dudaspm/Pittsburgh-Data-Visualization
starqiu/RDMP	r d m p	false	http://github.com/starqiu/RDMP
rpanachi/knu	knu	false	http://github.com/rpanachi/knu
akatov/heroku-bower-sample	heroku bower sample	false	http://github.com/akatov/heroku-bower-sample
jmoyers14/DBFBProfilePictureView	d b f b profile picture view	false	http://github.com/jmoyers14/DBFBProfilePictureView
saltwat5r/Sample.RSS	sample r s s	false	http://github.com/saltwat5r/Sample.RSS
supertusch/jquery-beacon	jquery beacon	false	http://github.com/supertusch/jquery-beacon
poren/xUtils	xutils	false	http://github.com/poren/xUtils
doublehops/.vimrc	 vimrc	True	http://github.com/doublehops/.vimrc
corespring/securesocial	securesocial	false	http://github.com/corespring/securesocial
schisamo/travis-hub	travis hub	false	http://github.com/schisamo/travis-hub
stefanofontanelli/fog	fog	false	http://github.com/stefanofontanelli/fog
dialyy/django-rest-thumbnails	django rest thumbnails	false	http://github.com/dialyy/django-rest-thumbnails
netconstructor/retrospectiva	retrospectiva	false	http://github.com/netconstructor/retrospectiva
switchspan/spf13-vim	spf  vim	True	http://github.com/switchspan/spf13-vim
