    INDD , Adobe InDesign
    PMD , Adobe PageMaker
    DOC , Microsoft Word for Mac document
    DOCX , Office Open XML document
    DOTX , Office Open XML text document template
    EPUB, EPUB open standard for e-books
    GDOC ,
    MD , metadata for Mobipocket documents
    MCW , Markdown text document
    ODM , Mathematica Player Notebook
    ODT , OpenDocument master document
    OTT , OpenDocument text document
    PDAX , Papyrus word processor document
    PDF , Portable Document Archive (PDA) document index file
    TeX , TeX
    TXT , Uniform Office Format
    XML , Open XML Paper Specification
    ODP , OpenDocument Presentation template
    PPT , OpenOffice.org XML (obsolete) Presentation
    PPTX ,
    bib ,
    enl ,
    ris , standard data format for astronomy (.fits)
