is_data_statistics	repo	terms	is_data_statistics	url
True	jnuc093/spring-mvc-examples	spring mvc examples	False	http://github.com/jnuc093/spring-mvc-examples
True	julian-maughan/haraka	haraka	False	http://github.com/julian-maughan/haraka
True	dchavezlive/nubot-simulator	nubot simulator	False	http://github.com/dchavezlive/nubot-simulator
True	solivavinicius/rest-api-sample-app-nodejs	rest api sample app nodejs	False	http://github.com/solivavinicius/rest-api-sample-app-nodejs
True	cb372/finagle	finagle	False	http://github.com/cb372/finagle
True	codecarson/socket-chat-example	socket chat example	False	http://github.com/codecarson/socket-chat-example
True	hlxwell/em_apn_manager	em apn manager	False	http://github.com/hlxwell/em_apn_manager
True	helios-ag/silex-swiftmailer-email-sending-example	silex swiftmailer email sending example	False	http://github.com/helios-ag/silex-swiftmailer-email-sending-example
True	pointybeard/oziexplorer-batch-map-convert	oziexplorer batch map convert	False	http://github.com/pointybeard/oziexplorer-batch-map-convert
True	igorcavalcante/gop	gop	False	http://github.com/igorcavalcante/gop
True	dragonbe/utexamples	utexamples	False	http://github.com/dragonbe/utexamples
True	yardrock71/android-datepicker	android datepicker	False	http://github.com/yardrock71/android-datepicker
True	losrebellos/standingwave3	standingwave3	False	http://github.com/losrebellos/standingwave3
True	ocirema/digital-signage-client	digital signage client	False	http://github.com/ocirema/digital-signage-client
True	stevenmaude/project-euler	project euler	True	http://github.com/stevenmaude/project-euler
True	tcurdt/master_slave_adapter	master slave adapter	False	http://github.com/tcurdt/master_slave_adapter
True	chuythong/sample_app	sample app	False	http://github.com/chuythong/sample_app
True	ravindrapai/sklearn_scipy2013	sklearn scipy 	True	http://github.com/ravindrapai/sklearn_scipy2013
True	blaw711/kinetical-samples	kinetical samples	False	http://github.com/blaw711/kinetical-samples
True	bberliner/openid_connect_sample_rp	openid connect sample rp	False	http://github.com/bberliner/openid_connect_sample_rp
True	godenlove007/scikit-learn	scikit learn	True	http://github.com/godenlove007/scikit-learn
True	suchit1986/sample	sample	False	http://github.com/suchit1986/sample
True	mattcreager/todo-example	todo example	False	http://github.com/mattcreager/todo-example
True	barrywark/ovation-osx-key-manager	ovation osx key manager	False	http://github.com/barrywark/ovation-osx-key-manager
True	hazem-ben-khalfallah/play-websockets-chat-sample	play websockets chat sample	False	http://github.com/hazem-ben-khalfallah/play-websockets-chat-sample
True	gojun077/jun-project-euler	jun project euler	True	http://github.com/gojun077/jun-project-euler
True	simulacre/async_sinatra	async sinatra	False	http://github.com/simulacre/async_sinatra
True	chrisbirch/qcplugincreationassistant	qcplugincreationassistant	False	http://github.com/chrisbirch/qcplugincreationassistant
True	meshuits/sample_app	sample app	False	http://github.com/meshuits/sample_app
True	aux-di/sample01	sample 	False	http://github.com/aux-di/sample01
True	davidlohmann/week3-homework	week3 homework	False	http://github.com/davidlohmann/week3-homework
True	yury/anjlab.fx	anjlab fx	False	http://github.com/yury/anjlab.fx
True	kmatzen/matlab-python	matlab python	True	http://github.com/kmatzen/matlab-python
True	paulyv/stock-manager	stock manager	False	http://github.com/paulyv/stock-manager
True	lepi-cane/hammer.js	hammer js	False	http://github.com/lepi-cane/hammer.js
True	konstan/python-dirq	python dirq	False	http://github.com/konstan/python-dirq
True	bigsassy/geopy	geopy	False	http://github.com/bigsassy/geopy
True	feugy/timelinejs	timelinejs	False	http://github.com/feugy/timelinejs
True	ondrejsika/python-smartconfig	python smartconfig	False	http://github.com/ondrejsika/python-smartconfig
True	ilann/sprimejs	sprimejs	False	http://github.com/ilann/sprimejs
True	robertoplancarte/caracol	caracol	False	http://github.com/robertoplancarte/caracol
True	lind1/sample_app	sample app	False	http://github.com/lind1/sample_app
