Oracle,Relational DBMS
MySQL,Relational DBMS
Microsoft SQL Server,Relational DBMS
PostgreSQL,Relational DBMS
MongoDB,Document store
DB2,Relational DBMS
Microsoft Access,Relational DBMS
SQLite,Relational DBMS
Cassandra,Wide column store
Sybase ASE,Relational DBMS
Solr,Search engine
Teradata,Relational DBMS
Redis,Key-value store
FileMaker,Relational DBMS
HBase,Wide column store
Informix,Relational DBMS
Elasticsearch,Search engine
Hive,Relational DBMS
Memcached,Key-value store
Splunk,Search engine
CouchDB,Document store
Neo4j,Graph DBMS
SAP HANA,Relational DBMS
Netezza,Relational DBMS
Firebird,Relational DBMS
Windows Azure SQL Database,Relational DBMS
MariaDB,Relational DBMS
Couchbase,Document store
Vertica,Relational DBMS
dBASE,Relational DBMS
Riak,Key-value store
DynamoDB,Key-value store
Sphinx,Search engine
Endeca,Search engine
Ingres,Relational DBMS
MarkLogic,Multi-model 
Greenplum,Relational DBMS
Ehcache,Key-value store
Interbase,Relational DBMS
RavenDB,Document store
SQL Anywhere,Relational DBMS
Sybase IQ,Relational DBMS
HyperSQL,Relational DBMS
mSQL,Relational DBMS
Jackrabbit,Content store
Hazelcast,Key-value store
Google Search Appliance,Search engine
Adabas,Multivalue DBMS
H2,Relational DBMS
Derby,Relational DBMS
Berkeley DB,Key-value store
SimpleDB,Key-value store
Sybase ADS,Relational DBMS
Coherence,Key-value store
Virtuoso,Multi-model 
Accumulo,Wide column store
TimesTen,Relational DBMS
"UniData,UniVerse",Multivalue DBMS
MaxDB,Relational DBMS
Google BigQuery,Relational DBMS
GemFire,Document store
Redshift,Relational DBMS
Titan,Graph DBMS
Caché,Object oriented DBMS
OrientDB,Multi-model 
Db4o,Object oriented DBMS
Drizzle,Relational DBMS
OpenEdge,Relational DBMS
Teradata Aster,Relational DBMS
Versant Object Database,Object oriented DBMS
Cloudant,Document store
Oracle NoSQL,Key-value store
EnterpriseDB,Relational DBMS
IMS,Navigational DBMS
Infobright,Relational DBMS
ParAccel,Relational DBMS
Tamino,Native XML DBMS
Jena,RDF store
Sesame,RDF store
VoltDB,Relational DBMS
Percona Server,Relational DBMS
IDMS,Navigational DBMS
ObjectStore,Object oriented DBMS
Red Brick,Relational DBMS
D3,Multivalue DBMS
Infinispan,Key-value store
Sedna,Native XML DBMS
Sparksee,Graph DBMS
NuoDB,Relational DBMS
MonetDB,Relational DBMS
jBASE,Multivalue DBMS
DataEase,Relational DBMS
Altibase,Relational DBMS
Datameer,Document store
R:BASE,Relational DBMS
NonStop SQL,Relational DBMS
Mnesia,Document store
LevelDB,Key-value store
GT.M,Key-value store
Aerospike,Key-value store
Clustrix,Relational DBMS
CloudSearch,Search engine
