event,date,start,end, source

outag,|05-02-16,,
bbc on github,,,
china dos attack,26-03-2015,,https://citizenlab.org/2015/04/chinas-great-cannon/
github data challenge 1,,,
github data challenge 2,,,
github data challenge 3,,,
github launch,10-04-2008,,https://github.com/blog/40-we-launched
githubarchive launched,,,
google code moves to github,12-03-2015,,http://arstechnica.com/information-technology/2015/03/google-to-close-google-code-open-source-project-hosting/
gov.uk on github,31-01-2012,,http://radar.oreilly.com/2012/01/with-govuk-british-government.html
heartbleed ,07-04-2014,,http://heartbleed.com/
india orders github block,31-12-2014,,http://techcrunch.com/2014/12/31/indian-government-censorsht/
microsoft code moves to github,,,
startup investment $100M,09-07-2012,,http://www.forbes.com/sites/tomiogeron/2012/07/09/cash-for-code-github-raises-100-million-from-andreessen-horowitz/
tom preston-werner resigns,21-04-2014,,https://github.com/blog/1823-results-of-the-github-investigation
white house goes on github:wethepeople petitions,23-08-2012,,https://open.nasa.gov/blog/welcoming-the-white-house-to-github/
