PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM
J	Cook, I; Crang, P				Cook, Ian/F-4751-2010; French, Shaun/B-1155-2010; Bear, Christopher/H-8716-2013	Bear, Christopher/0000-0001-7130-515X			The world on a plate - Culinary culture, displacement and geographical knowledges								JOURNAL OF MATERIAL CULTURE				1	2			131	153		10.1177/135918359600100201			JUL 1996	1996	This article uses claims about the local globalization of culinary culture to stage an argument about the character of material cultural geographies and their spaces of identity practice. It approaches these geographies in two ways. First, it views foods not only as placed cultural artefacts, but also as dis-placed materials and practices, inhabiting many times and spaces which, far from being neatly bounded, bleed into and mutually constitute each other. Second, it considers the geographical knowledges, or understandings, of foods' geographies, mobilized within circuits of culinary culture, outlining their production through processes of commodity fetishism, and arguing for forms of critical intervention that work with the fetish rather than attempt to reach behind it.									207	0	0	3	3	209			1359-1835			WOS:A1996WE77300001	
J	Ingold, T								Culture on the ground - The world perceived through the feet								JOURNAL OF MATERIAL CULTURE				9	3			315	340		10.1177/1359183504046896			NOV 2004	2004	Classical accounts of human evolution posit a progressive differentiation between the hands as instruments of rational intelligence and feet as integral to the mechanics of bipedal locomotion. Yet evolutionists were modelling pedestrian performance on the striding gait of boot-clad Europeans. The bias of head over heels in their accounts follows a long-standing tendency, in western thought and science, to elevate the plane of social and cultural life over the ground of nature. This tendency was already established among European elites in the practice of destination-oriented travel, the use of shoes and chairs, and the valorization of upright posture. It was further reinforced in urban societies through paving the streets. The groundlessness of metropolitan life remains embedded not only in western social structures but also in the disciplines of anthropology, psychology and biology. A more grounded approach to human movement, sensitive to embodied skills of footwork, opens up new terrain in the study of environmental perception, the history of technology, landscape formation and human anatomical evolution.									112	0	0	3	2	112			1359-1835			WOS:000225270800005	
J	DeSilvey, Caitlin				Thomas, Nicola/C-6206-2015				Observed decay: Telling stories with mutable things								JOURNAL OF MATERIAL CULTURE				11	3			318	338		10.1177/1359183506068808			NOV 2006	2006	The degradation of cultural artefacts is usually understood in a purely negative vein: the erosion of physical integrity is associated with a parallel loss of cultural information. This article asks if it is possible to adopt an interpretive approach in which entropic processes of decomposition and decay, though implicated in the destruction of cultural memory traces on one register, contribute to the recovery of memory on another register. The article tracks the entanglement of cultural and natural histories through the residual material culture of a derelict homestead in Montana. In conclusion, the article suggests that deposits of degraded material, though inappropriate for recovery in conventional conservation strategies, may be understood through the application of a collaborative interpretive ethic, allowing other-than-human agencies to participate in the telling of stories about particular places.									78	0	0	0	1	79			1359-1835			WOS:000242441800003	
J	Tilley, Christopher								Introduction - Identity, place, landscape and heritage								JOURNAL OF MATERIAL CULTURE				11	1-2			7	32		10.1177/1359183506062990			MAR-JUL 2006	2006										59	0	1	0	4	63			1359-1835			WOS:000238312900002	
J	Parkin, D								Mementoes as transitional objects in human displacement								JOURNAL OF MATERIAL CULTURE				4	3			303	320					NOV 1999	1999	This article argues for a theoretical extension in anthropology from the post-Cartesian depiction of body and mind as one (rather than as separable) to the idea that this composite body-mind can be regarded as enmeshed in social trails created by the movement of objects. Movements of persons therefore occur with or in relation to the objects to which people attach themselves. Such everyday movements need to be contrasted with those dramatically resulting from forcible human displacement, in which refugees, for instance, take what items they can both for immediate practical use but also in order either to re-establish or re-define personal and collective origins. The article concludes by suggesting that, as mementoes of sentiment and cultural knowledge and yet also as bases of future re-settlement, the 'transitional objects' carried by peoples in crisis inscribe their personhood in flight but offer the possibility of their own de-objectification and re-personalization afterwards.									62	0	0	2	1	63			1359-1835			WOS:000083798200004	
J	Edensor, T								Waste matter - The debris of industrial ruins and the disordering of the material world								JOURNAL OF MATERIAL CULTURE				10	3			311	332		10.1177/1359183505057346			NOV 2005	2005	By exploring the disordering effects of ruination, this article critically explores the ways in which the material world is normatively ordered. The yet to be disposed of objects in ruins have been identified as 'waste', an assignation which testifies to the power of some to normatively order the world, but also is part of an excess, impossible to totally erase, which contains rich potential for reinterpretation and reuse because it is under-determined. Through processes of decay and non-human intervention, objects in ruins gradually transform their character and lose their discreteness, they become charged with alternative aesthetic properties, they impose their materiality upon the sensory experience of visitors, and they conjure up the forgotten ghosts of those who were consigned to the past upon the closure of the factory but continue to haunt the premises. In these ways, ruined matter offers ways for interacting otherwise with the material world.									60	0	0	1	0	60			1359-1835			WOS:000233337900005	
J	Massey, D								Landscape as a provocation - Reflections on moving mountains								JOURNAL OF MATERIAL CULTURE				11	1-2			33	48		10.1177/1359183506062991			MAR-JUL 2006	2006	This article opens with a story of the mobility and varied temporalities of a particular landscape and uses this to reflect on a range of issues that revolve around the different kinds of 'grounding' that are appealed to in sociocultural, political and academic life. It reflects upon the relations between human and natural sciences, the nature of appeals between them, and the important, but often questionable, place within this of particular political positions. It goes on to query the role of 'Nature' as a grounding to place and landscape and stresses the potentially differential effectivities of contrasting temporalities - between, for example, the temporalities of the taskspace and the temporalities of tectonics. Nonetheless, the argument continues, there are indeed provocations from the moving rocks to the nature of scientific discourse and to debates within political philosophy. It concludes with a conceptualization of both landscape and place as events.					Conference on Landscape, Heritage and Identity in honor of Barbara BenderConference on Landscape, Heritage and Identity in honor of Barbara Bender	MAR   21, 2005MAR   21, 2005		Univ Coll London, London, ENGLANDUniv Coll London, London, ENGLAND	59	0	0	0	0	59			1359-1835			WOS:000238312900003	
J	Gell, A								Vogel's net - Traps as artworks and artworks as traps								JOURNAL OF MATERIAL CULTURE				1	1			15	38		10.1177/135918359600100102			MAR 1996	1996	This essay explores the basis of the distinction commonly made between works of art or art objects, and 'mere' artefacts, which are useful but not aesthetically interesting or beautiful. It is argued that if the art object is identifiable as such in the light of the fact that it has an interpretation, as Danto claims, then many artefacts could be exhibited as art objects. The essay shows that animal traps could very well be exhibited as art, because they tend to embody complex ideas and intentions to do with the relationship between men and animals, and because they provide a model of the hunter himself and his idea of the world of the prey animal. It is concluded that an aesthetic definition of the art object is consequently unsatisfactory.									53	0	0	1	5	58			1359-1835			WOS:A1996WE77200001	
J	Shove, E; Southerton, D								Defrosting the freezer: From novelty to convenience - A narrative of normalization								JOURNAL OF MATERIAL CULTURE				5	3			301	319					NOV 2000	2000	This article examines the 'normalization' of the British freezer. It defines three phases in this process: an initial period oriented around the utility of preserving home produce; a second stage marked by the development of a frozen food infrastructure and the establishment of the freezer as a part of the efficient domestic economy; and a third subtle but significant redefinition of the primary benefits of freezing in terms of convenience. Cast in their new role as 'time machines', freezers are sold as a means of managing contemporary pressures associated with the scheduling and co-ordination of domestic life. At one level, this is a story of the gradual acceptance of a relatively standardized object. Yet this narrative suggests that the freezer's promised benefits and functions change along the way. Developing this point, we argue that the normalization of the chameleon-like freezer can only be understood in the context of similarly changing systems of food provisioning, patterns of domestic practice and allied technological devices.									54	0	0	3	0	54			1359-1835			WOS:000165460300003	
J	Marcoux, JS								The 'casser maison' ritual - Constructing the self by emptying the home								JOURNAL OF MATERIAL CULTURE				6	2			213	235					JUL 2001	2001	This paper addresses the relationship between mobility, ageing and death in an urban housing market from a material culture perspective. It examines a divestment ritual performed by elderly people in Montreal (Canada) on the occasion of a move from a home on their own to a care environment. This move which is often a move into a smaller place and a smaller set of things is also accompanied by the compulsion for the people to divest themselves of some of their belongings, a process that is called 'casser maison', literally 'breaking the house: This ethnographic paper reveals that 'casser maison' is not only a matter of getting separated from some, if not most, of one's possessions, however. It is also a matter of placing those possessions among the kin or other potential recipients. In this respect,'casser maison' pertains to a ritualized form of construction of the self through the emptying of the place. It proceeds from the wish to ancestralize oneself; the capacity to place one's possessions is taken to guarantee the survival of the subject and of his or her memory. As such, this paper demonstrates that, through the use of personal belongings, the divestment of the self becomes a form of investment.					Meeting of the British-Sociological-Association-Consumption-Study-GroupMeeting of the British-Sociological-Association-Consumption-Study-Group	OCT, 2000OCT, 2000	British Sociol Assoc, Consumpt Studt GrpBritish Sociol Assoc, Consumpt Studt Grp	KEELE, ENGLANDKEELE, ENGLAND	51	0	0	2	1	52			1359-1835			WOS:000169836700005	
