Archive and compressed	    .?Q? 	 files compressed by the SQ program
Archive and compressed	    .BAT - batch file.	
Archive and compressed	    .bke 	 BackupEarth.com Data compression
Archive and compressed	    .egg 	 Alzip Egg Edition compressed file
Archive and compressed	    .tar.gz	 .tgz 
Archive and compressed	    .tar.xz 	 an xz compressed tar file. (Based on LZMA2.)
Archive and compressed	    .uue 	 user unifile element
Archive and compressed	    7z 	 7-Zip compressed file
Archive and compressed	    AAC 	 Advanced Audio Coding
Archive and compressed	    ace 	 ACE compressed file
Archive and compressed	    ALZ 	 ALZip compressed file
Archive and compressed	    APK 	 Applications installable on Android
Archive and compressed	    ARC	
Archive and compressed	    ARJ 	 ARJ compressed file
Archive and compressed	    AT3 	 Sony's UMD Data compression
Archive and compressed	    BA 	 Scifer Archive (.ba)
Archive and compressed	    big 	 Special file compression format used by Electronic Arts for compressing the data for many of EA's games
Archive and compressed	    BIK (.bik) 	 Bink Video file. A video compression system developed by RAD Game Tools
Archive and compressed	    BIN	
Archive and compressed	    BKF (.bkf) 	 Microsoft backup created by NTBACKUP.EXE
Archive and compressed	    bld	 - Skyscraper Simulator Building
Archive and compressed	    bzip2 	 (.bz2)
Archive and compressed	    c4 	 JEDMICS image files
Archive and compressed	    cab 	 Microsoft Cabinet
Archive and compressed	    cals 	 JEDMICS image files
Archive and compressed	    cpt/sea 	 Compact Pro (Macintosh)
Archive and compressed	    DAA 	 Closed-format
Archive and compressed	    DDZ 	" a file which can only be used by the ""daydreamer engine"" created by ""fever-dreamer"", a program similar to RAGS, it's mainly used to make somewhat short games."
Archive and compressed	    deb 	 Debian install package
Archive and compressed	    DMG 	 an Apple compressed/encrypted format
Archive and compressed	    Doom³ archive (.pk4) 	 (Opens similarly to a zip archive.)
Archive and compressed	    DPE 	 Package of AVE documents made with Aquafadas digital publishing tools.
Archive and compressed	    ECAB (.ECAB	 .ezip) 
Archive and compressed	    EEA 	 An encrypted CAB
Archive and compressed	    EGT (.egt) 	 EGT Universal Document also used to create compressed cabinet files replaces .ecab
Archive and compressed	    ESS (.ess) 	 EGT SmartSense File
Archive and compressed	    GHO (.gho	 .ghs) 
Archive and compressed	    gzip (.gz) 	 Compressed file
Archive and compressed	    IPG (.ipg) 	 Format in which Apple Inc. packages their iPod games. can be extracted through Winrar
Archive and compressed	    jar 	 ZIP file with manifest for use with Java applications.
Archive and compressed	    LBR 	 Library file
Archive and compressed	    LBR (.Lawrence) 	 Lawrence Compiler Type file
Archive and compressed	    LHA (.lzh) 	 Lempel
Archive and compressed	    LQR 	 LBR Library file compressed by the SQ program.
Archive and compressed	    lzip (.lz) 	 Compressed file
Archive and compressed	    lzma	
Archive and compressed	    lzo	
Archive and compressed	    LZX (algorithm)	
Archive and compressed	    MacBinary (.bin)	
Archive and compressed	    MBRWizard archive (.mbw)	
Archive and compressed	    MPQ Archives (.mpq) 	 Used by Blizzard games
Archive and compressed	    NTH (.nth) 	 Nokia Theme Used by Nokia Series 40 Cellphones
Archive and compressed	    PAK 	 Enhanced type of .ARC archive
Archive and compressed	    Parchive 	 (.par
Archive and compressed	    Portable Application File - (.paf)	
Archive and compressed	    Quake 3 archive (.pk3) 	 (See note on Doom³)
Archive and compressed	    RAG / RAGS 	
Archive and compressed	    RAR Rar Archive (.rar) 	 for multiple file archive (rar to .r01-.r99 to s01 and so on)
Archive and compressed	    RPM 	 Red Hat package/installer for Fedora
Archive and compressed	    SEN Scifer Archive (.sen) 	 Scifer Internal Archive Type
Archive and compressed	    sit/sitx 	 StuffIt (Macintosh)
Archive and compressed	    SKB 	 Google Sketchup Backup File
Archive and compressed	    tar 	 group of files
Archive and compressed	    TB (.tb) 	 Tabbery Virtual Desktop Tab file
Archive and compressed	    TIB (.tib) 	 Acronis True Image backup
Archive and compressed	    uha 	 Ultra High Archive Compression
Archive and compressed	    VIV 	 Archive format used to compress data for several video games
Archive and compressed	    VOL 	 unknown archive
Archive and compressed	    VSA 	 Altiris Virtual Software Archive
Archive and compressed	    WAX 	 Wavexpress 
Archive and compressed	    Z 	 Unix compress file
Archive and compressed	    zip 	 popular compression format
Archive and compressed	    zoo 	 based on LZW
Physical recordable media archiving	        ADZ 	 The GZip-compressed version of ADF.
Physical recordable media archiving	        DMS 	 Disk Masher System
Physical recordable media archiving	    ADF 	 Amiga Disk Format
Physical recordable media archiving	    B6T 	 BlindWrite 5/6 image file
Physical recordable media archiving	    C2D 	 Roxio / WinOnCD .c2d format
Physical recordable media archiving	    CCD	SUB
Physical recordable media archiving	    CDI 	 DiscJuggler image file
Physical recordable media archiving	    CIF 	 Easy CD Creator .cif format
Physical recordable media archiving	    CUE 	 CDRWrite CUE image file
Physical recordable media archiving	    D64 	 An archive of a Commodore 64 floppy disk.
Physical recordable media archiving	    DAA 	 PowerISO .daa format
Physical recordable media archiving	    DMG 	 Macintosh disk image files
Physical recordable media archiving	    DSK 	 For archiving floppy disks from a number of other platforms
Physical recordable media archiving	    IMG 	 For archiving MS-DOS formatted floppy disks.
Physical recordable media archiving	    ISO 	 The generic file format for most optical media
Physical recordable media archiving	    MDS 	 DAEMON tools native disc image file format used for making images from optical CD-ROM
Physical recordable media archiving	    MDX 	 New DAEMON Tools file format that allows to get one MDX disc image file instead of two (MDF and MDS).
Physical recordable media archiving	    NRG 	 The proprietary optical media archive format used by Nero applications.
Physical recordable media archiving	    SDI 	" System Deployment Image, used for archiving and providing ""virtual disk"" functionality."
Physical recordable media archiving	(MPEG-1 is found in a .DAT file on a video CD.)	
Computer-aided	Computer-aided is a prefix for several categories of tools (e.g.	 design
Computer-aided	Computer-aided design (CAD)	
Computer-aided	Computer-aided design (CAD) software assists engineers	 architects and other design professionals in project design.
Computer-aided	    3dmlw 	
Computer-aided	    3dxml 	 (3D Markup Language for Web) files
Computer-aided	    ACP 	 Dassault Systemes graphic representation
Computer-aided	    AMF 	 VA Software VA 
Computer-aided	    AEC - DataCAD drawing format 	 Additive Manufacturing File Format
Computer-aided	    AR 	1
Computer-aided	    ART 	 Ashlar-Vellum Argon 
Computer-aided	    ASC 	 ArtCAM model
Computer-aided	    ASM 	 BRL-CAD Geometry File (old ASCII format)
Computer-aided	    BIN	 BIM 
Computer-aided	    CCC 	 Data Design System DDS-CAD
Computer-aided	    CCM 	 CopyCAD Curves
Computer-aided	    CCS 	 CopyCAD Model
Computer-aided	    CAD 	 CopyCAD Session
Computer-aided	    CATDrawing 	 CadStd
Computer-aided	    CATPart 	 CATIA V5 Drawing document
Computer-aided	    CATProduct 	 CATIA V5 Part document
Computer-aided	    CATProcess 	 CATIA V5 Assembly document
Computer-aided	    cgr 	 CATIA V5 Manufacturing document
Computer-aided	    CO 	 CATIA V5 graphic representation file
Computer-aided	    DRW 	 Ashlar-Vellum Cobalt 
Computer-aided	    DFT 	 Caddie Early version of Caddie drawing 
Computer-aided	    DGN 	 Solidedge Draft
Computer-aided	    DGK 	 MicroStation design file
Computer-aided	    DMT 	 Delcam Geometry
Computer-aided	    DXF 	 Delcam Machining Triangles
Computer-aided	    DWB 	 ASCII Drawing Interchange file format 
Computer-aided	    DWF 	 VariCAD drawing file
Computer-aided	    DWG 	 AutoDesk's Web Design Format; AutoCAD & Revit can publish to this format; similar in concept to PDF files; AutoDesk Design Review is the reader
Computer-aided	    EASM - SolidWorks eDrawings assembly file	 AutoCAD and Open Design Alliance applications
Computer-aided	    EDRW - eDrawings drawing file	
Computer-aided	    EMB 	
Computer-aided	    EPRT - eDrawings part file	 Wilcom ES Designer Embroidery CAD file
Computer-aided	    ESW 	
Computer-aided	    EXCELLON 	 AGTEK format
Computer-aided	    EXP 	 Excellon file
Computer-aided	    FM 	 Drawing Express file format
Computer-aided	    FMZ 	 FeatureCAM Part File
Computer-aided	    G 	 FormZ Project file
